TCGA-BL-A13J-11A-13R-A10U-07	TCGA-BT-A20N-11A-11R-A14Y-07	TCGA-BT-A20Q-11A-11R-A14Y-07	TCGA-BT-A20R-11A-11R-A16R-07	TCGA-BT-A20U-11A-11R-A14Y-07	TCGA-BT-A20W-11A-11R-A14Y-07	TCGA-BT-A2LA-11A-11R-A18C-07	TCGA-BT-A2LB-11A-11R-A18C-07	TCGA-CU-A0YN-11A-11R-A10U-07	TCGA-CU-A0YR-11A-13R-A10U-07	TCGA-GC-A3BM-11A-11R-A22U-07	TCGA-GC-A3WC-11A-11R-A22U-07	TCGA-GC-A6I3-11A-11R-A31N-07	TCGA-GD-A2C5-11A-11R-A180-07	TCGA-GD-A3OP-11A-11R-A220-07	TCGA-GD-A3OQ-11A-21R-A220-07	TCGA-K4-A3WV-11A-21R-A22U-07	TCGA-K4-A54R-11A-11R-A26T-07	TCGA-K4-A5RI-11A-11R-A28M-07
?|100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|100133144	2.5521	3.8933	5.4594	16.4583	34.4264	5.2219	11.346	38.256	4.3054	8.7471	21.0084	3.1837	0	6.0128	17.7621	40.8452	8.3088	13.7216	1.5099
?|100134869	8.5119	5.7305	10.4417	7.681	19.062	1.3534	3.4219	25.7514	1.4834	6.5471	9.6515	2.6472	5.3121	10.7337	19.364	19.138	19.5273	18.5364	14.4093
?|10357	117.4995	103.9108	148.8251	100.9537	162.7054	128.9808	118.3924	124.8423	180.5137	131.3118	127.6985	145.6327	95.2855	119.1427	149.7972	128.4473	142.8571	128.644	139.1199
?|10431	619.5833	738.4077	679.3286	786.7036	1132.5581	1032.8767	1158.6498	1143.321	687.4096	690.5882	697.5129	697.3761	1551.7928	556.2201	1018.9068	646.4851	895.4832	903.8232	836.9674
?|136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	128.3422	115.4856	119.258	120.6965	120.9302	54.7945	82.7004	91.3729	66.5702	153.5294	259.3317	272.8863	291.5007	94.4976	250.6016	253.2622	313.5504	270.6093	187.172
?|26823	0.7376	0	0	0.3957	0.7752	0.5479	0	0.4638	0	0	0	0	0	0	0	0.3332	0	0	0
?|280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3987	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|340602	0.7376	0	0	0.7915	0.7752	2.7397	4.2194	0	2.8944	0	0	1.1662	2.656	1.9936	0	0	0.5252	0	1.9296
?|388795	0.7376	0	0	0.7915	0.7752	0.5479	0	0.4638	0.7236	0.5882	1.2775	6.9971	3.3201	1.9936	2.0626	1.333	1.5756	4.1816	2.8944
?|390284	1.4752	3.4996	5.3004	5.1444	6.9767	3.8356	3.7975	6.0297	1.4472	7.6471	11.4975	11.0787	0.664	21.1324	7.9065	5.3318	9.979	4.779	4.3416
?|391343	0	0	0	0	0	0	0	0	0	0	0	0	0.664	3.1898	0	0	0	0	0
?|391714	0	0	0	0	0.7752	0	0.4219	0	0	0	0	0	0	0	0	0.3332	0	0	0
?|404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|553137	0	0	0	0	0.7752	0	0.8439	0.9276	0	0	0	0	0	0	0.6875	0.9997	0.5252	5.9737	0
?|57714	456.5739	401.5748	350.7067	463.7911	193.0233	461.9178	108.4388	169.7588	426.1939	301.7647	269.5517	182.5073	93.6255	263.9553	396.0124	581.5034	163.8655	295.6989	223.8345
?|645851	2.2128	0.8749	0	3.1658	10.0775	7.6712	0.8439	2.3191	2.8944	6.4706	13.4137	5.8309	8.6321	5.1834	10.3128	17.6617	15.7563	23.2975	4.3416
?|652919	42.6185	26.0542	35.2562	79.7388	0	2.1918	0	0.9137	25.3256	0	10.8459	5.2187	0	12.3006	50.2441	30.5714	0	0	0
?|653553	1278.2593	2159.2301	1708.4806	1125.8409	6722.4806	642.7397	2027.4262	4007.4212	1062.9522	968.8235	884.6661	953.9359	1636.7862	2061.8022	1927.1227	639.8203	1028.8866	358.4229	790.1744
?|728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728788	2.2128	4.3745	0	0.7915	2.3256	1.0959	0.4219	1.3915	0.7236	0	0.6387	1.7493	0	0	1.0313	0	1.0504	0	0.4824
?|729884	0	0	0	0	8806.2016	76.7123	1173.8397	19086.2709	4.3415	28.2353	751.8065	4.0816	3.3201	23.5247	2336.5418	1122.0182	123.9496	983.2736	26.5321
?|8225	553.1993	640.4199	641.3428	557.5782	690.6977	467.9452	1074.6835	608.9981	523.1548	522.3529	845.7024	527.6968	1782.8685	526.3158	660.0206	686.4739	997.8992	831.5412	854.8163
?|90288	1.4752	0.8749	0.8834	1.1872	0.7752	2.7397	2.1097	0.9276	0.7236	1.7647	1.9162	2.9155	14.6082	1.9936	1.0313	2.3327	0.5252	1.7921	5.3064
A1BG|1	19.9152	13.9983	3.5336	22.9086	31.7829	35.8685	28.27	40.7699	14.4718	27.0588	27.0829	45.1662	379.7742	54.5335	21.6638	25.0463	44.3067	10.7527	135.0147
A1CF|29974	0	0	0	0.3957	0	0	0	0	0	0	0	0	0	1.1962	0	0.3332	0	0	0
A2BP1|54715	0	0	0	0.3957	0	10.411	8.0169	1.3915	0.7236	1.7647	31.9374	0	1.328	3.1898	0.3438	15.329	14.1807	13.1422	3.3768
A2LD1|87769	41.2539	54.8469	55.2739	54.5548	60.155	63.5178	52.4684	74.9165	91.1577	40.7941	78.4255	57.621	89.0239	147.8429	77.4905	129.9735	70.1418	33.8232	80.6045
A2ML1|144568	0.7376	0	0	1.1872	35975.1938	38.3562	43.4599	30820.5009	0.7236	4.1176	10.22	243.1487	100.9296	157.496	1769.3365	412.884	26.7857	75.8662	7.236
A2M|2	35276.135	54673.5958	31100.6007	59156.5453	27120.0853	173726.4767	27797.3882	30808.3952	59332.7496	56159.1588	60484.8162	38265.0146	46328.838	20249.5295	17636.9337	37817.0097	8306.1292	34322.5568	82397.9382
A4GALT|53947	744.9751	1314.9606	1060.0707	2015.4333	1805.4264	969.863	3233.7553	1303.8033	1021.7077	1246.4706	1237.255	1145.7726	1771.5803	1338.9155	2089.3778	1089.3607	1518.3824	1409.1995	1714.4566
A4GNT|51146	0	0	0	0	0	0	0	0.4638	0.7236	0.5882	1.2775	3.4985	0	0	0	1.333	1.0504	1.1947	0
AAA1|404744	0	0	0	0	0	0.5479	0	0	0	0.5882	0.6387	0	0	0.3987	0	0.3332	0	0	0
AAAS|8086	486.0778	419.0726	601.5901	450.7321	660.4651	677.2603	622.3629	574.6753	638.9291	669.4118	630.4443	663.5569	806.1089	574.5614	680.99	580.1704	711.1345	556.7503	550.4207
AACSL|729522	0	0	0	0	21.7054	0	0	1.3915	0	0	0.6387	0	0.664	0	0	0.6665	0	0	0
AACS|65985	388.7147	343.832	307.4205	318.9553	1399.2248	562.7397	519.4093	865.4917	486.9754	396.4706	404.3275	362.0991	620.8499	605.2632	335.8542	506.8577	575.105	431.8996	359.3895
AADACL2|344752	29.504	4.3745	7.9505	3.5615	199.2248	5.4795	0.4219	5.5659	7.9595	5.8824	2.555	4.0816	0	51.0367	0.6875	5.9983	0	3.5842	10.1304
AADACL3|126767	0	0	0	0	0	0.5479	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4|343066	0	0	1.7668	0.7915	0.7752	4.3836	0	0	5.7887	5.8824	0	4.6647	1.328	0	0.6875	1.333	0	0	0.9648
AADAC|13	16.2272	9.6238	1.7668	1.9786	1090.6977	70.137	7.173	22.2635	19.5369	1.1765	84.3147	4.0816	387.1182	224.4817	5.1564	141.9601	1.5756	63.9188	9.1656
AADAT|51166	148.2574	134.7332	145.7597	182.034	21.7054	126.0274	154.4304	31.5399	82.4891	131.7647	147.5508	169.6793	59.0969	137.9585	90.7528	222.2709	148.1092	84.8268	111.4349
AAGAB|79719	597.4553	735.783	756.1837	635.1405	1087.5969	1015.3425	1297.4684	1251.8553	693.9219	679.4118	857.1999	650.1458	1171.9788	1507.9745	1235.8199	1075.0314	1339.2857	1003.5842	917.5286
AAK1|22848	1029.6884	915.1356	1047.7032	799.7626	793.7984	999.4521	1163.2911	878.0148	1203.3285	932.9412	1067.9867	828.5714	970.7835	926.6348	1010.6566	1439.5957	1038.3403	1014.3369	849.0275
AAMP|14	2278.4437	2303.5871	2469.9647	2850.8112	3174.4186	2346.8493	4027.8481	2877.0872	1957.3082	2732.3529	2893.5287	2587.7551	2934.927	2605.2632	3797.8687	2537.6207	3667.0168	3045.9976	3009.2235
AANAT|15	1.4752	0	0	0	0	0	0	0	0	0	0.6387	2.3324	5.3121	1.1962	0.6875	0	0	1.1947	1.9296
