TCGA-BL-A0C8-01A-11R-A10U-07	TCGA-CF-A9FM-01A-11R-A38B-07	TCGA-DK-AA6U-01A-11R-A39I-07	TCGA-FJ-A3Z9-01A-11R-A26T-07
?|100130426	0	0	0	0
?|100133144	7.6021	19.8595	14.1142	15.8458
?|100134869	5.2334	24.2211	23.3695	4.6766
?|10357	123.1272	102.5779	161.8944	211.9527
?|10431	1151.1085	992.0458	720.597	1319.6517
?|136542	0	0	0	0
?|155060	139.4399	240.3553	308.6271	414.801
?|26823	0	0.464	0	0.6219
?|280660	1.1669	0	0	0
?|317712	0	0	0	0
?|340602	0	0.464	15.4138	0
?|388795	72.9288	1.856	2.4522	3.1095
?|390284	2.3337	3.7121	1.7516	6.8408
?|391343	1.1669	0	0.7006	0
?|391714	0.5834	0	0	0
?|404770	0	0	0	0
?|441362	0	0	0	0
?|442388	0	0	0	0
?|553137	204.2007	0.464	1.0509	1.2438
?|57714	612.6021	608.3124	618.3052	120.6468
?|645851	42.5904	18.0963	22.7704	14.3035
?|652919	57.7771	52.6091	0	7.9913
?|653553	1482.4971	1156.304	284.8057	1139.9254
?|728045	0	0	0	0
?|728603	0	0	0	0
?|728788	0	1.392	0.7006	0
?|729884	1.1669	418.5338	7.7069	2008.0846
?|8225	378.063	705.2898	1083.5229	1031.0945
?|90288	30.9218	2.32	3.8535	0.6219
A1BG|1	12.8355	10.171	15.2667	11.5174
A1CF|29974	11.6686	0.464	1.0509	0
A2BP1|54715	0	0	0	0
A2LD1|87769	70.9568	149.4101	73.1807	77.6182
A2ML1|144568	15.7526	113.6816	1695.1721	47.8856
A2M|2	18212.3221	4697.5734	3090.8847	1617.5249
A4GALT|53947	191.3652	670.9533	301.9711	511.8159
A4GNT|51146	0.5834	0	0.3503	0
AAA1|404744	0.5834	1.856	0	0.6219
AAAS|8086	1070.5951	741.4823	901.009	796.6418
AACSL|729522	31.5053	0	11.9107	0.6219
AACS|65985	1095.0992	531.2874	690.8203	483.8308
AADACL2|344752	0.5834	0	0.7006	0
AADACL3|126767	0	0	0	1.2438
AADACL4|343066	0	0	0	0
AADAC|13	318.5531	3.248	3.8535	27.9851
AADAT|51166	135.3559	220.8671	307.9265	482.5871
AAGAB|79719	628.3547	1862.9859	1807.623	1023.6318
AAK1|22848	1540.8401	1128.4637	1108.0449	854.4776
AAMP|14	2503.5006	4018.7598	2378.2854	3146.7662
AANAT|15	0.5834	0	0	0
AARS2|57505	414.2299	518.2766	729.1307	740.6343
AARSD1|80755	539.0898	587.4322	665.5976	509.9502
AARS|16	2965.5776	2092.669	2020.6143	1228.8557
AASDHPPT|60496	688.4481	1208.7368	638.9457	684.7015
AASDH|132949	139.4399	274.2278	222.8	162.3134
AASS|10157	408.9848	902.4925	361.1743	147.3881
AATF|26574	1442.2404	1238.8972	1586.5745	1634.3284
AATK|9625	44.9242	16.2402	21.0189	16.1692
ABAT|18	420.07	1858.3458	548.2423	738.806
ABCA10|10349	12.252	219.9391	23.1208	207.0896
ABCA11P|79963	79.4457	142.6634	111.2389	141.0075
ABCA12|26154	126.6044	25.9844	16.4648	148.01
ABCA13|154664	73.5123	17.1682	90.7315	4.3532
ABCA17P|650655	9.3349	5.1041	1.4013	0
ABCA1|19	3314.9475	1467.1605	441.7291	814.0547
ABCA2|20	599.1832	856.5559	168.8516	2273.01
ABCA3|21	761.3769	86.7692	162.1956	19.9005
ABCA4|24	8.7515	3.248	14.0126	9.3284
ABCA5|23461	285.2975	864.908	394.4542	943.408
ABCA6|23460	60.6768	5.1041	52.8975	358.8308
ABCA7|10347	1457.4096	1543.7494	279.2007	166.6667
ABCA8|10351	191.9487	42.2246	40.9868	6.8408
ABCA9|10350	36.1727	2.32	6.3057	171.0199
ABCB10|23456	411.902	280.2599	427.3837	326.4925
ABCB11|8647	1.1669	0.928	1.4013	0.6219
ABCB1|5243	75.846	56.6088	38.5346	9.9502
ABCB4|5244	2.9172	11.1362	6.656	3.1095
ABCB5|340273	0	0	0	0
ABCB6|10058	100.6884	848.3987	239.0021	426.6231
ABCB7|22	257.2929	372.1332	255.3793	243.1592
ABCB8|11194	643.5239	591.1442	564.3567	570.2736
ABCB9|23457	119.1599	180.5913	230.4124	79.1791
ABCC10|89845	921.2369	926.1569	680.3108	1054.7264
ABCC11|85320	15.7526	5.5681	1.0509	4.3532
ABCC12|94160	0	0	0	0
ABCC13|150000	3.5006	0	0.3503	3.1095
ABCC1|4363	550.7585	1021.7422	1559.9506	907.9602
ABCC2|1244	2.3337	6.0321	1.4013	3.7313
ABCC3|8714	13009.9183	2147.4218	698.5272	4628.1095
ABCC4|10257	268.9615	1249.5693	569.9618	1316.5423
ABCC5|10057	429.4049	1525.1892	1860.1702	4013.0597
ABCC6P1|653190	0	0	0	1.2438
ABCC6P2|730013	0.5834	1.856	4.9044	0.6219
ABCC6|368	2.9172	2.32	4.5541	4.9751
ABCC8|6833	0	0	0	1.2438
ABCC9|10060	44.9242	10.2081	12.261	11.194
ABCD1|215	998.8331	384.6613	563.3058	345.1493
ABCD2|225	2.3337	1.856	5.9553	0
ABCD3|5825	2421.8203	2266.2075	4012.1524	1738.1841
ABCD4|5826	471.4119	816.1873	535.6309	813.4328
ABCE1|6059	1079.3466	1314.9943	1743.8658	1622.5124
ABCF1|23	2207.1179	1936.7629	1922.1759	1356.3433
ABCF2|10061	1104.4341	1407.3315	1801.3174	710.8209
ABCF3|55324	1023.9207	1458.8362	1416.3217	1256.2189
ABCG1|9619	755.5426	3096.315	152.0365	2255.597
ABCG2|9429	131.2719	122.9617	166.0491	48.5075
ABCG4|64137	9.9183	0.464	10.5094	1.8657
ABCG5|64240	71.762	1.856	0.3503	0
ABCG8|64241	21.5869	0.928	0.7006	1.2438
ABHD10|55347	350.6418	696.9377	642.8272	382.4627
ABHD11|83451	844.8075	823.6114	796.9656	1030.4726
ABHD12B|145447	3.5006	6.4961	1.7516	3.7313
ABHD12|26090	5445.741	2225.3749	5840.444	5629.9751
ABHD13|84945	382.147	686.7295	311.7799	333.9552
ABHD14A|25864	371.0618	487.1789	227.0038	889.1978
ABHD14B|84836	1626.021	2112.6213	867.0285	2318.408
ABHD15|116236	558.3431	592.0722	698.1769	551.6169
ABHD1|84696	1.1669	1.856	3.5031	0
ABHD2|11057	10837.8063	2299.1519	2226.2489	4527.9851
ABHD3|171586	1060.0933	371.2052	349.2636	324.6269
ABHD4|63874	2489.4982	574.44	550.3441	427.8607
ABHD5|51099	1593.9323	777.2108	558.0511	925.995
ABHD6|57406	233.9557	216.227	213.6919	77.7363
ABHD8|79575	121.3536	363.317	273.946	56.592
ABI1|10006	1456.2427	1850.7082	1793.9047	1645.5784
ABI2|10152	817.9697	1116.3995	611.6492	847.6368
ABI3BP|25890	46.091	12.9922	38.1843	29.8507
ABI3|51225	224.6208	83.5212	67.2604	21.1443
ABL1|25	1235.1225	1656.503	1832.4954	1699.6269
ABL2|27	705.3676	401.3656	601.4901	308.4577
ABLIM1|3983	1795.7993	2580.8038	1254.126	4757.4627
ABLIM2|84448	58.3431	14.8482	15.7642	1.2438
ABLIM3|22885	724.6208	509.4791	130.6673	858.209
ABO|28	119.6033	89.0892	7.3566	274.2537
ABP1|26	196.0327	663.9932	5.9553	12.4378
ABRA|137735	2.3337	0	1.0509	6.2189
ABR|29	1285.2975	5331.898	1355.7173	1585.199
ABT1|29777	656.9428	1026.3822	678.9096	1034.204
ABTB1|80325	392.0653	708.0738	559.102	535.4478
ABTB2|25841	158.6931	190.2426	177.6095	29.8507
ACAA1|30	6218.7865	3426.6876	1392.5003	2547.8856
ACAA2|10449	2899.0665	456.1183	2765.7333	975.7463
ACACA|31	1054.8425	1366.963	2767.8352	2253.7313
ACACB|32	68.2614	302.9962	108.5975	22.3881
ACAD10|80724	624.2707	695.5457	631.6171	758.0846
ACAD11|84129	581.0968	357.285	337.9344	746.2687
ACAD8|27034	645.2742	939.613	574.5158	347.0149
ACAD9|28976	425.0933	993.4285	1488.1467	1259.9502
ACADL|33	1.1669	6.9601	17.1654	1.2438
ACADM|34	1430.5718	1134.4957	683.814	406.0945
ACADSB|36	4275.9627	580.4721	352.0661	978.8557
ACADS|35	783.5473	612.4885	547.5416	1044.7761
ACADVL|37	5683.7573	8514.5182	5113.5343	10995.6468
ACAN|176	934.6558	1.856	14.7132	5.597
ACAP1|9744	15.1692	38.0485	34.6811	20.5224
ACAP2|23527	1796.9662	874.1881	1166.5474	747.5124
ACAP3|116983	784.9125	1421.9199	1168.6423	1942.9478
ACAT1|38	428.8215	234.7873	757.38	269.2786
ACAT2|39	1104.4282	348.4781	760.8587	1318.9925
ACBD3|64746	1275.3792	1105.2633	1544.8871	869.403
ACBD4|79777	169.7783	404.6136	300.9202	165.4229
ACBD5|91452	2108.5181	1269.0576	1090.1788	566.5423
ACBD6|84320	299.8833	467.7185	629.5152	423.5075
ACBD7|414149	350.6418	54.7528	54.6491	22.3881
ACCN1|40	0.5834	0	0	4.9751
ACCN2|41	11.6686	3.248	49.044	22.3881
ACCN3|9311	26.8378	1.392	4.9044	4.3532
ACCN4|55515	0	0	0.7006	1.8657
ACCN5|51802	21.5869	0.464	0.3503	2.4876
ACCSL|390110	0	0	0	0
ACCS|84680	288.2147	609.7045	20.6686	466.4179
ACD|65057	251.4586	284.4359	615.1523	498.1343
ACE2|59272	117.2695	64.0329	3.8535	32.3383
ACER1|125981	0	0	0	0.6219
ACER2|340485	3456.8261	934.509	402.5114	1699.005
ACER3|55331	428.238	265.8757	324.7416	202.1144
ACE|1636	1486.5811	284.4359	193.7239	130.597
ACHE|43	56.0093	40.3686	118.7566	6.8408
ACIN1|22985	3407.2345	5076.6945	3659.0354	5570.8955
ACLY|47	6818.5531	2533.0112	5475.0659	2857.5871
ACMSD|130013	0	0.464	0	0
ACN9|57001	142.3571	361.925	285.5063	203.9801
ACO1|48	1606.7678	1168.3682	417.5749	380.597
ACO2|50	6049.0548	3088.5521	2905.1655	3035.2861
ACOT11|26027	889.3057	1345.6929	593.2402	1554.7264
ACOT12|134526	0.5834	0.928	0	0
ACOT13|55856	689.86	623.2349	561.1093	557.8047
ACOT1|641371	527.4212	257.0596	226.6535	166.6667
ACOT2|10965	459.7433	237.1073	172.0044	72.1393
ACOT4|122970	252.042	46.8647	136.973	69.0299
ACOT6|641372	35.5893	0	0.3503	0
ACOT7|11332	740.3734	791.131	823.5895	1520.5224
ACOT8|10005	384.7958	484.2835	724.0301	507.556
ACOT9|23597	343.6406	308.5643	401.1101	350.7463
ACOX1|51	25744.9125	3372.1529	4037.5292	2435.9453
ACOX2|8309	236.2894	15.7762	1.7516	1.2438
ACOX3|8310	739.79	400.4376	1148.3311	1191.5423
ACOXL|55289	292.2987	318.3084	480.9819	717.0398
ACP1|52	1885.6476	1289.9379	1578.5173	1501.2438
ACP2|53	631.2719	1338.1946	860.0187	723.8806
ACP5|54	1611.4352	491.8468	320.8881	554.7264
ACP6|51205	369.895	1146.0959	973.8744	1937.1891
ACPL2|92370	376.8961	1038.4464	978.7788	414.1791
ACPP|55	259.0432	25.5204	136.2724	9.3284
ACPT|93650	0	0	0	0.6219
ACRBP|84519	76.4294	27.8404	50.7956	39.801
ACRC|93953	16.3361	13.9202	45.5409	44.1542
ACRV1|56	3.5006	0.464	10.8598	4.9751
ACR|49	0.5834	0.464	0.7006	0
