TCGA-5L-AAT1-01A-12R-A41B-07	TCGA-A2-A0CS-01A-11R-A115-07	TCGA-A2-A0SV-01A-11R-A084-07	TCGA-A2-A0SW-01A-11R-A084-07	TCGA-A2-A0T2-01A-11R-A084-07	TCGA-A8-A07W-01A-11R-A00Z-07	TCGA-A8-A08J-01A-11R-A00Z-07	TCGA-A8-A08O-01A-21R-A056-07	TCGA-A8-A08T-01A-21R-A00Z-07	TCGA-AC-A62V-01A-11R-A31O-07	TCGA-AN-A0FJ-01A-11R-A00Z-07	TCGA-AO-A0J5-01A-11R-A034-07	TCGA-B6-A0I9-01A-11R-A034-07	TCGA-B6-A0IB-01A-11R-A034-07	TCGA-B6-A0X1-01A-11R-A109-07	TCGA-BH-A18J-01A-11R-A12D-07	TCGA-BH-A1FH-01A-12R-A13Q-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-PL-A8LX-01A-11R-A41B-07	TCGA-UU-A93S-01A-21R-A41B-07
?|100130426	0	0	0.2813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|100133144	0	1.4905	5.9806	0.4387	20.3388	9.9595	9.1317	9.6553	5.8136	1.9303	7.0528	19.1141	27.8808	5.4202	22.3943	9.2538	14.8556	0	8.0917	4.3126
?|100134869	10.5949	2.6627	11.7418	0	5.9652	9.1078	4.175	9.0888	10.1597	10.5502	7.3529	10.8831	15.7776	5.892	9.1317	7.8699	7.7467	8.7236	3.9257	10.8828
?|10357	115.9984	77.7942	77.706	87.8814	128.2568	146.6338	107.9308	102.0389	55.9967	79.272	106.1525	130.7625	132.2945	51.3154	62.3019	117.8217	103.1845	172.4839	87.2149	136.1288
?|10431	1108.3945	1250.1154	917.6299	1116.5599	3062.8622	895.5271	1152.6946	1136.7281	739.7671	1587.9355	1012.0048	723.5772	1176.2269	1382.9994	946.8678	1277.2898	576.2056	1504.5914	489.151	2886.3965
?|136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	208.639	27.2266	350.511	172.4197	99.4204	151.585	79.5077	188.2745	130.1165	491.7317	117.6471	79.3384	187.3805	142.8571	182.09	193.9524	166.886	219.9265	448.203	183.068
?|26823	0	0.4615	0.8439	0	0.8917	0	0.998	2.0827	0.9983	0	0.6002	0.5607	0	0	0.5436	0	1.2385	0	0.4451	0
?|280660	0	0	0	0.4387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|340602	0	0	0	0	0	28.2831	1.3307	0	0	1.6641	0	0.2803	0.3187	1.616	0	0	0	0.9183	0	23.1548
?|388795	4.075	0.9229	1.1252	0	0	1.9067	1.3307	0.4165	0	0.416	0	0.2803	1.912	0.3232	0	1.3979	0.9289	0.4591	11.5723	0
?|390284	4.89	8.3064	2.8131	3.9485	4.9041	2.8601	7.6514	2.0827	4.3261	4.5762	2.401	9.5318	2.2307	4.8481	2.7178	9.4355	4.3347	9.1827	6.2312	0
?|391343	0.815	0	0	0	0	0.9534	3.6593	0.4165	0	1.248	0	0.841	6.3735	0.6464	0	0	0	0.4591	0	0
?|391714	0	0	0.2813	0	0	0	0.6653	0.4165	0.6656	0	0	0	0	0	0	0	0	0	0	0
?|404770	0	0	0	0.4387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|553137	1.63	0.4615	2.8131	0	7.5791	0	0	0.4165	0.6656	0	12.605	0	29.318	3.2321	3.2613	0.3495	0.6192	1.3774	0	0
?|57714	336.5933	316.1052	546.3021	711.1762	221.5782	1412.5685	986.0279	703.9467	980.3661	367.7587	357.7431	729.4645	2132.2498	354.5572	3412.9637	2002.427	676.523	168.9624	334.2606	234.4428
?|645851	4.89	2.3073	17.1598	4.826	4.4583	11.7582	6.3207	15.8284	19.3012	0	19.2077	19.344	14.3403	3.2321	5.4355	2.0968	9.9079	5.9688	26.7052	1.4472
?|652919	0	7.2727	0	15.3423	0	0	0.6653	1.8453	32.4792	0	28.6555	58.8338	23.0019	0	62.7477	0	76.2753	0	45.0384	0
?|653553	126.3244	605.4453	471.4739	504.0972	394.115	1114.4832	1128.0772	462.7721	128.4526	1683.2033	42.617	288.4777	360.4207	973.8203	49.4632	251.6139	96.9115	358.5859	272.3935	762.6628
?|728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9289	0	0	0
?|728788	0	0	0	1.3162	0.4458	0.6356	0	0.4165	0	0	0	0	0	0	1.6307	0	0	0	0	0
?|729884	0.815	3.2303	0	67.1252	26.7499	1.5889	25.9481	1.2496	1.6639	1.6641	3.0012	0.2803	3.1867	1.2928	0.5436	8.0377	10.5271	4.1322	0	1.4472
?|8225	686.2266	480.8491	504.6683	677.3943	400.3567	301.8988	519.6274	461.939	659.2346	2435.7774	364.946	614.2417	827.2785	863.9302	405.4899	561.9376	301.5713	549.1276	727.7178	620.8394
