TCGA-IC-A6RE-11A-12R-A336-31	TCGA-IC-A6RF-11A-21R-A336-31	TCGA-IG-A3I8-11A-11R-A24K-31	TCGA-L5-A43C-11A-11R-A24K-31	TCGA-L5-A4OF-11A-12R-A260-31	TCGA-L5-A4OG-11A-12R-A260-31	TCGA-L5-A4OJ-11A-12R-A260-31	TCGA-L5-A4OM-11A-11R-A260-31	TCGA-L5-A4OO-11A-12R-A260-31	TCGA-L5-A4OQ-11A-12R-A260-31	TCGA-L5-A4OR-11A-11R-A260-31	TCGA-V5-A7RE-11A-11R-A354-31	TCGA-V5-AASX-11A-11R-A38D-31
?|100130426	0	0	0	0	0	0	0	0	0	0	0	0	0
?|100133144	0	0	0	0	0	0	0	0	0	0	0	0	0
?|100134869	0	0	0	0	0	0	0	0	0	0	0	0	0
?|10357	0	0	0	0	0	0	0	0	0	0	0	0	0
?|10431	0	0	0	0	0	0	0	0	0	0	0	0	0
?|136542	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	0	0	0	0	0	0	0	0	0	0	0	0	0
?|26823	0	0	0	0	0	0	0	0	0	0	0	0	0
?|280660	0	0	0	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0	0	0
?|340602	0	0	0	0	0	0	0	0	0	0	0	0	0
?|388795	0	0	0	0	0	0	0	0	0	0	0	0	0
?|390284	0	0	0	0	0	0	0	0	0	0	0	0	0
?|391343	0	0	0	0	0	0	0	0	0	0	0	0	0
?|391714	0	0	0	0	0	0	0	0	0	0	0	0	0
?|404770	0	0	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0	0	0	0
?|553137	0	0	0	0	0	0	0	0	0	0	0	0	0
?|57714	0	0	0	0	0	0	0	0	0	0	0	0	0
?|645851	0	0	0	0	0	0	0	0	0	0	0	0	0
?|652919	0	0	0	0	0	0	0	0	0	0	0	0	0
?|653553	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728045	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728603	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728788	0	0	0	0	0	0	0	0	0	0	0	0	0
?|729884	0	0	0	0	0	0	0	0	0	0	0	0	0
?|8225	0	0	0	0	0	0	0	0	0	0	0	0	0
?|90288	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG|1	0.405	0.3419	0.2121	0.3666	0.2339	0.5592	0.6322	0.5733	0.498	0.3725	0.253	0.4854	0.1794
A1CF|29974	0.001	0.0013	0.0054	0.2004	0.1943	0.4306	0.2912	0.8871	0.1294	0	0.1979	5.3682	0.2303
A2BP1|54715	0	0	0	0	0	0	0	0	0	0	0	0	0
A2LD1|87769	1.0443	2.0495	1.1106	3.6252	4.501	3.078	3.9213	3.5994	2.4093	1.2161	5.631	2.2313	6.9474
A2ML1|144568	385.2009	166.4856	0.1504	0.0088	0.0284	0.024	5.5308	18.8076	0.0574	0.0393	0.1959	0.5653	0.025
A2M|2	23.3472	86.6825	240.179	45.0594	97.825	121.4456	74.0926	178.295	202.2124	1160.0918	56.9295	45.4376	47.9155
A4GALT|53947	4.4115	26.4132	15.1274	4.5937	8.2941	7.6331	5.8782	3.4848	8.3713	15.7218	5.9772	1.4241	0.5731
A4GNT|51146	0.0056	0	0.0212	0.6979	4.3481	2.2633	0.596	17.2253	0.6324	0.0313	1.5053	3.4509	11.756
AAA1|404744	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS|8086	10.2758	10.9162	8.8558	11.5667	15.341	11.9761	12.9214	13.1906	9.88	9.9622	11.7219	16.7121	9.5942
AACSL|729522	0	0	0	0	0	0	0	0	0	0	0	0	0
AACS|65985	12.5955	22.9733	2.4289	5.7202	13.4488	7.8983	6.1916	20.6377	4.4388	3.3082	7.157	10.3812	7.1887
AADACL2|344752	0.5531	6.1498	0.0413	0.051	0.0526	0.4643	0.1117	0.1847	0.1411	0.4959	0.0189	0.1694	0.1052
AADACL3|126767	0	0	0	0	0	0	0	0	0	0	0	0.1208	0
AADACL4|343066	0	0	0	0	0	0.0125	0	0	0.0134	0.015	0	0.1963	0
AADAC|13	0.6284	0.9649	0	7.1442	58.3315	22.0944	5.132	14.3653	4.0381	0	25.2873	6.0496	9.64
AADAT|51166	0.632	2.3396	1.8786	0.7173	2.6625	0.9417	1.5349	2.6292	1.8354	2.5772	0.9613	1.8082	2.0187
AAGAB|79719	9.6343	21.7883	5.9518	11.2126	18.0384	12.4467	10.4862	14.0231	8.9289	7.6552	12.5394	20.9719	14.7001
AAK1|22848	2.6448	2.915	3.7858	4.3595	12.369	7.7058	6.8042	5.8903	6.6742	5.5129	6.3579	5.0485	3.9558
AAMP|14	33.0189	45.9022	21.7812	40.5056	47.0379	42.9532	38.6219	50.8558	33.1179	25.2151	41.1434	75.9903	51.4205
AANAT|15	0.0492	0.0496	0.0114	0.1174	0.0455	0.1204	0.1034	0.0934	0.128	0.0742	0	0.1343	0.0084
AARS2|57505	5.6533	3.6467	2.1861	2.6377	5.5715	3.7278	3.6634	4.7087	3.4428	3.2178	2.2791	5.7908	6.3283
AARSD1|80755	2.0274	2.9706	5.9219	3.0188	3.4831	2.883	3.1256	2.4313	4.0354	4.3306	3.0019	3.0473	4.5919
AARS|16	11.5764	21.996	29.0235	41.7459	29.9577	45.2658	29.8551	33.5509	34.4774	25.6545	32.2678	41.7437	47.6616
AASDHPPT|60496	7.5138	13.4931	6.2573	8.182	12.781	9.7522	10.0525	9.2088	8.1197	9.9969	10.318	10.0854	14.4279
AASDH|132949	1.2377	1.5947	1.0895	1.1392	2.0033	1.917	2.1989	2.271	1.3772	1.504	1.1677	2.1055	3.4651
AASS|10157	1.5864	1.7108	2.8723	2.9199	4.0328	3.6577	4.6107	2.3194	7.3425	10.1914	1.9209	2.4887	1.1767
AATF|26574	10.4026	26.7035	13.7156	16.6938	19.2227	13.8706	12.071	15.2083	13.3352	13.6243	14.8936	19.9879	25.7545
AATK|9625	0.8088	1.1646	5.8692	3.1465	3.7725	2.4352	2.3501	3.9519	4.1885	4.8548	1.7553	9.7573	8.2035
ABAT|18	4.148	14.9033	2.002	2.3455	4.2311	2.2116	2.5309	6.0527	2.2022	1.6407	2.4084	9.4	7.001
ABCA10|10349	0.1003	0.1205	0.3048	0.3801	0.3708	0.9184	0.6342	0.8254	1.9657	1.0782	0.2315	0.2761	0.2146
ABCA11P|79963	1.5754	3.5054	1.7526	2.5314	4.0275	3.8195	4.3278	3.59	3.0793	3.2	2.7737	6.3224	5.7283
ABCA12|26154	1.4943	17.0104	0.0031	0.0063	0.0442	0.0129	0.0727	0.875	0.0158	0.013	0.0151	0.5932	0.0115
ABCA13|154664	0.0854	1.1796	0.0019	0.0028	0.0039	0.0134	0.0183	0.0738	0.003	0.0014	0	0.8104	0.4729
ABCA17P|650655	0.0018	0.005	0.0425	0.0095	0.0201	0.0191	0.0638	0.0166	0.0296	0.0524	0	0.3411	0.028
ABCA1|19	0	0.0401	0.006	0.0233	0.0546	0	0	0.0684	0.0383	0.0426	0.1006	0.0574	0
ABCA2|20	2.7115	2.3828	10.7978	12.1989	14.564	20.507	25.7979	8.3744	14.2804	12.1759	19.5775	6.9916	14.8586
ABCA3|21	2.111	0.9824	8.169	2.7627	3.3987	3.5385	3.8726	2.8471	7.145	8.6589	1.9242	0.7149	0.422
ABCA4|24	0.0161	1.636	0.0349	0.006	0.0551	0.0944	0.0242	0.0678	0.1122	0.0553	0.0198	0.2874	0.0065
ABCA5|23461	2.8146	2.171	1.5222	3.2479	5.3631	5.2305	5.1608	3.7122	3.4474	2.649	3.5784	3.1407	3.1846
ABCA6|23460	0.2277	0.2859	3.0703	0.7125	1.3716	2.9269	1.2199	1.9646	4.1445	8.0777	0.4643	0.2499	0.1662
ABCA7|10347	6.1147	3.3989	1.0842	2.2203	4.3347	3.1713	2.9537	3.1141	1.8873	0.9146	3.1301	2.9374	9.0624
