TCGA-2H-A9GJ-01A-11R-A37I-31	TCGA-IC-A6RF-01A-13R-A336-31	TCGA-IG-A5B8-01A-11R-A28J-31	TCGA-JY-A6F8-01A-11R-A336-31	TCGA-JY-A6FB-01A-11R-A336-31	TCGA-JY-A93F-01A-21R-A37I-31	TCGA-KH-A6WC-01A-11R-A336-31	TCGA-L5-A43E-01A-11R-A24K-31	TCGA-L5-A4OG-01A-11R-A260-31	TCGA-L5-A4OH-01A-11R-A260-31	TCGA-L5-A4OJ-01A-11R-A260-31	TCGA-L5-A4OM-01A-11R-A260-31	TCGA-L5-A4OP-01A-11R-A260-31	TCGA-L5-A4OR-01A-11R-A260-31	TCGA-L5-A88S-01A-11R-A36D-31	TCGA-L5-A893-01A-11R-A36D-31	TCGA-L5-A8NW-01A-11R-A37I-31	TCGA-S8-A6BW-01A-11R-A31P-31	TCGA-V5-A7RE-01A-11R-A354-31
?|100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|100133144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|100134869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|10357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|10431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|26823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|340602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|388795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|390284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|391343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|391714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|553137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|57714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|645851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|652919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|653553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|729884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|8225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|90288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG|1	0.7532	1.7749	0.9692	0.1254	0.3316	0.8532	0.3336	0.2871	0.439	0.6131	0.3044	1.0461	0.3927	0.1992	3.0195	0.7771	0.6167	0.5197	0.2177
A1CF|29974	5.9032	0.0083	0.0087	7.8893	2.4246	0	0.0014	1.2265	0.0096	9.6579	4.0064	0.007	5.136	3.2069	0.0038	1.8456	0.0295	0.0034	1.2134
A2BP1|54715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2LD1|87769	1.5611	2.7894	1.2978	6.2384	2.6475	4.9028	0.9923	6.694	2.4893	4.2143	2.6462	0.9579	15.0241	3.5286	1.1792	2.7335	0.9801	3.4837	1.2848
A2ML1|144568	0.0079	123.3058	12.1394	0.1188	0.0261	134.9934	420.7115	0.0313	32.2368	0.08	0.0051	59.207	0.024	0.0283	5.6233	96.7267	279.9846	11.4829	0.0129
