TCGA-2H-A9GO-01A-11R-A37I-31	TCGA-L5-A4OT-01A-11R-A28J-31	TCGA-L5-A8NF-01A-11R-A37I-31	TCGA-L5-A8NH-01A-11R-A37I-31	TCGA-LN-A5U5-01A-21R-A28J-31	TCGA-R6-A8W5-01B-11R-A37I-31	TCGA-VR-A8EU-01A-11R-A36D-31	TCGA-VR-A8EX-01A-11R-A36D-31	TCGA-VR-AA7B-01A-31R-A406-31
?|100130426	0	0	0	0	0	0	0	0	0
?|100133144	0	0	0	0	0	0	0	0	0
?|100134869	0	0	0	0	0	0	0	0	0
?|10357	0	0	0	0	0	0	0	0	0
?|10431	0	0	0	0	0	0	0	0	0
?|136542	0	0	0	0	0	0	0	0	0
?|155060	0	0	0	0	0	0	0	0	0
?|26823	0	0	0	0	0	0	0	0	0
?|280660	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0
?|340602	0	0	0	0	0	0	0	0	0
?|388795	0	0	0	0	0	0	0	0	0
?|390284	0	0	0	0	0	0	0	0	0
?|391343	0	0	0	0	0	0	0	0	0
?|391714	0	0	0	0	0	0	0	0	0
?|404770	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0
?|553137	0	0	0	0	0	0	0	0	0
?|57714	0	0	0	0	0	0	0	0	0
?|645851	0	0	0	0	0	0	0	0	0
?|652919	0	0	0	0	0	0	0	0	0
?|653553	0	0	0	0	0	0	0	0	0
?|728045	0	0	0	0	0	0	0	0	0
?|728603	0	0	0	0	0	0	0	0	0
?|728788	0	0	0	0	0	0	0	0	0
?|729884	0	0	0	0	0	0	0	0	0
?|8225	0	0	0	0	0	0	0	0	0
?|90288	0	0	0	0	0	0	0	0	0
A1BG|1	2.5888	0.7042	0.1959	0.3082	0.0813	0.2472	0.7747	0.7227	0.6791
A1CF|29974	1.7805	0.2066	0.8086	6.0234	0.0842	1.4373	0.0099	0.0033	0.0107
A2BP1|54715	0	0	0	0	0	0	0	0	0
A2LD1|87769	2.5314	1.9761	2.4287	2.9882	2.4574	1.9433	1.0987	1.4451	2.9582
A2ML1|144568	0.0111	0.082	0.0069	0.0367	7.9812	0.1401	41.4692	156.8615	3.2071
A2M|2	30.5799	284.8146	91.4327	82.4106	38.7589	117.5532	39.8644	9.665	71.9386
A4GALT|53947	1.3589	4.9166	2.1687	1.9843	18.8482	3.9626	7.7179	22.5072	27.1179
A4GNT|51146	3.2613	0.639	38.7404	0.0715	0.952	1.6505	0.1438	0.0106	0.176
AAA1|404744	0	0	0	0	0	0	0	0	0
AAAS|8086	27.5344	12.9663	15.0109	18.2188	38.1524	30.6651	16.8102	23.3552	28.0542
AACSL|729522	0	0	0	0	0	0	0	0	0
AACS|65985	6.8126	6.8188	7.7009	4.7683	14.8811	12.6838	10.6912	20.8792	10.4587
AADACL2|344752	0.0326	0.0037	0.1597	0.0093	0.1585	0	0	0.2504	0.0132
AADACL3|126767	0.004	0	0	0	0	0	0.0079	0	0
AADACL4|343066	0.0052	0	0	0	0	0	0	0.0057	0
AADAC|13	1.5542	0.9392	8.0573	1.6173	8.4254	3.0347	0.6879	9.5508	0.0111
AADAT|51166	3.6504	2.0931	4.2605	2.6385	0.8254	5.7551	1.458	0.7907	2.8037
AAGAB|79719	53.4736	22.2564	17.0392	20.9622	24.0471	16.4276	12.7396	16.0446	13.6622
AAK1|22848	4.7406	8.6749	2.9343	3.6385	1.8972	3.0964	4.1597	3.5177	6.532
AAMP|14	66.6377	38.7869	50.9293	42.658	55.5312	49.2954	26.626	39.8551	35.7542
AANAT|15	0.1721	0.0716	0.0476	0.1185	0.1145	0.126	0.1029	0.233	0.3614
AARS2|57505	8.7989	5.592	6.23	15.7807	4.857	6.8093	3.2736	4.6448	3.0746
AARSD1|80755	4.9517	2.8232	3.4313	8.6483	5.2735	5.5676	4.6439	5.7556	3.3356
AARS|16	26.6984	22.1339	68.9553	38.9249	73.215	64.422	60.1885	35.5416	49.0391
AASDHPPT|60496	13.2293	10.0899	11.6258	10.456	27.6589	21.2208	11.2052	12.637	13.5772
AASDH|132949	2.2361	1.9892	2.987	2.3082	1.7116	2.9739	1.3681	1.8821	2.0368
AASS|10157	1.9431	3.9934	2.1228	2.2552	7.2418	0.5645	0.9925	3.6003	1.3458
AATF|26574	34.5562	22.5418	28.399	30.4238	28.4393	33.2572	47.6252	44.4654	23.5275
AATK|9625	1.2061	1.394	7.5338	6.8689	0.3337	2.031	0.6861	0.3647	1.1387
ABAT|18	1.992	0.745	11.6925	0.8619	1.729	0.7562	0.2189	3.0544	2.8833
ABCA10|10349	0.1811	1.022	0.3261	0.8173	1.0598	0.1809	0.0941	0.1737	0.3287
ABCA11P|79963	4.9521	2.9579	7.367	5.7397	2.4458	4.0879	1.9935	4.0593	2.505
ABCA12|26154	0.0472	2.0804	1.15	6.1865	1.7086	5.4272	5.6024	1.2206	2.8714
ABCA13|154664	0.5619	0.3437	0.1754	0.1336	0.5784	0.0541	1.8409	1.3615	2.0039
ABCA17P|650655	0.1927	0.0246	0.0379	0.0157	0.0333	0.0255	0.0477	0.0241	0.1327
ABCA1|19	0.1186	0.094	0.0933	0	0.055	0.0076	0.0491	0.0216	0.1003
ABCA2|20	4.889	8.7364	4.2229	3.9578	2.7226	4.301	1.0638	2.5466	8.0235
ABCA3|21	0.4849	0.8155	0.5693	0.5214	0.2498	6.9991	1.5293	1.4154	2.9012
ABCA4|24	0.0565	0.0194	0.01	0.7466	20.4648	0.0229	0.0111	0.0474	0.0271
ABCA5|23461	1.3492	2.4757	3.1471	2.8664	2.1102	0.9077	1.4831	2.5229	2.119
ABCA6|23460	0.0392	1.8651	0.2986	0.2923	2.8834	0.3369	0.13	0.1884	0.4564
ABCA7|10347	4.6808	5.4602	5.1346	3.3384	4.364	2.6004	3.4653	5.4637	2.7008
ABCA8|10351	0.1422	6.2565	1.1651	0.9828	0.1463	0.3553	0.0697	0.0749	0.0988
ABCA9|10350	0.0479	1.2368	0.3745	0.2279	0.2518	0.0585	0.1342	0.0768	0.2752
ABCB10|23456	1.8134	7.2242	7.6648	8.0601	7.5205	11.4554	4.4009	4.9106	5.7873
ABCB11|8647	0.0033	0	0.0051	0.0554	0.1403	0.0705	0.0275	0.0459	0.0072
ABCB1|5243	0.2489	2.3949	1.7777	0.8135	0.4906	0.7849	0.0851	0.1353	0.7549
ABCB4|5244	0.3195	0.2106	2.6851	0.7559	0.1053	0.2025	0.0418	0.1394	0.4519
ABCB5|340273	0.0237	0.0065	0.0048	9e-04	0.0086	0.0014	0.0162	0.0037	0.0086
ABCB6|10058	21.5181	9.9259	11.0365	14.6299	63.1696	11.9345	13.1127	11.1775	10.8623
ABCB7|22	9.5374	9.3077	10.3356	11.8999	9.0059	12.1169	12.9538	5.8076	6.3695
ABCB8|11194	7.1022	5.1447	3.0264	6.422	6.4989	5.473	5.0598	7.7376	5.0903
ABCB9|23457	1.7328	2.2407	1.0608	0.6607	0.8627	2.2495	1.8756	1.3254	3.6994
ABCC10|89845	4.3912	4.3041	5.1482	12.9256	3.6971	6.4085	4.6177	6.1249	4.5678
ABCC11|85320	0.0227	0.0994	0.1356	0.0447	0.2268	0.0828	0.1154	0.1009	0.0612
ABCC12|94160	0.0314	0.0014	0.0169	0	0	0.004	0	0.0039	0.0019
ABCC13|150000	0.0046	0	0.0302	0.1948	0	0.0064	0.003	0.0107	0.0044
ABCC1|4363	12.0385	15.9227	20.66	12.2704	87.8294	15.3852	31.0686	20.6828	24.8669
ABCC2|1244	0.0716	0.1625	0.7327	0.2799	0.5065	4.42	0.1856	0.0921	0.1537
ABCC3|8714	12.0691	15.5438	60.4272	46.4374	24.9446	28.5512	12.2694	1.0565	6.9009
ABCC4|10257	5.5171	9.0195	4.0059	3.8595	1.7006	8.4437	2.5912	0.7285	3.9759
ABCC5|10057	4.1034	4.6641	4.0068	3.1155	34.3258	3.5352	9.0758	14.044	12.3091
ABCC6P1|653190	2.4164	0.2794	2.1948	0.2144	0.0656	0.2669	0.0056	0.0176	0.064
ABCC6P2|730013	2.477	0.7161	2.65	0.3337	0.1224	0.1612	0.0113	0.0678	0.1089
ABCC6|368	4.5818	2.2857	4.8927	1.9303	0.282	0.8124	0.0495	0.0482	0.1494
ABCC8|6833	0.0445	0.0082	0.4195	0.0387	0.0015	0.0397	0	3e-04	0.7087
ABCC9|10060	0.1797	1.4633	0.5961	0.2333	0.4109	0.6179	0.4452	0.0819	0.655
ABCD1|215	8.0169	10.3301	10.6639	13.8956	17.327	39.6569	7.8546	5.6926	14.6893
ABCD2|225	0.0092	0.1829	0.0258	0.1721	0.0926	0.2903	0.0179	0.0796	0.0511
ABCD3|5825	16.3559	11.561	18.468	9.3918	16.9075	14.5036	4.5141	9.5224	7.7817
ABCD4|5826	4.8798	6.221	6.6067	6.1663	13.1218	5.8408	5.1009	4.616	7.5341
ABCE1|6059	34.2805	14.4642	23.1337	24.7579	19.5288	40.2479	29.6887	18.9663	18.8017
ABCF1|23	45.2606	34.2202	32.7251	42.1493	30.458	36.0672	26.1894	28.7591	44.9188
ABCF2|10061	19.5629	15.2553	6.6469	18.8279	23.9554	21.6419	25.9833	23.5029	16.4397
ABCF3|55324	36.7187	11.4116	16.0266	15.3045	33.2329	9.8807	23.4275	18.356	17.9174
ABCG1|9619	3.603	4.4661	4.5172	5.6248	4.3488	6.3295	3.2571	2.0981	7.3959
ABCG2|9429	0.5088	1.4346	0.9426	1.1629	0.45	0.5661	0.6953	0.2442	0.3007
ABCG4|64137	0.0643	0.0629	0.0742	0.0503	0.0482	0.0797	0.1596	0.0679	0.2593
ABCG5|64240	6.4386	0.7093	0.2388	1.3623	0.0665	0.182	0.0104	0.0373	0.0426
ABCG8|64241	5.5248	0.879	0.3106	2.6726	0.021	0.116	0	0	0.0549
ABHD10|55347	32.5601	8.2333	14.2669	5.779	6.0702	8.1084	8.0963	7.682	10.5527
ABHD11|83451	40.2186	43.3778	28.4327	52.8135	14.7394	16.0495	10.113	16.7341	14.9831
ABHD12B|145447	0	0.0178	0	0.1307	0.2107	0.0202	0.179	0.1532	0.0656
ABHD12|26090	24.8898	36.251	31.4954	27.2721	23.1277	19.7033	22.1742	21.8484	25.6475
