TCGA-KL-8327-01A-11R-2315-07	TCGA-KL-8329-01A-11R-2315-07	TCGA-KL-8332-01A-11R-2315-07	TCGA-KM-8439-01A-11R-2315-07	TCGA-KM-8441-01A-11R-2315-07	TCGA-KM-8476-01A-11R-2315-07	TCGA-KM-8477-01A-11R-2315-07	TCGA-KM-8639-01A-11R-2403-07	TCGA-KN-8422-01A-11R-2315-07	TCGA-KN-8423-01A-11R-2315-07	TCGA-KN-8424-01A-11R-2315-07	TCGA-KN-8425-01A-11R-2315-07	TCGA-KN-8430-01A-11R-2315-07	TCGA-KN-8437-01A-11R-2315-07	TCGA-KO-8403-01A-11R-2315-07	TCGA-KO-8406-01A-11R-2315-07	TCGA-KO-8410-01A-11R-2315-07	TCGA-KO-8411-01A-11R-2315-07	TCGA-KO-8413-01A-11R-2315-07	TCGA-KO-8415-01A-11R-2315-07	TCGA-KO-8417-01A-11R-2315-07
?|100130426	0.9434	0.341	0	0	0	0	0	0	0	0	0.3428	0	0	0	0.4346	0	0	0	0	0	0
?|100133144	2.8302	2.2676	0	0.9789	0	2.741	8.296	2.993	1.7804	0	15.349	8	14.8016	2.701	4.4464	3.5704	8.8693	3.2566	11.5483	0.5373	2.7337
?|100134869	0	12.6293	18.9125	7.3244	13.1443	2.1042	3.8511	7.4549	2.7384	6.2098	8.2802	9.7855	20.3722	6.5773	13.3739	14.7395	3.7547	6.1774	6.2869	14.5083	3.9943
?|10357	47	54.1985	79.17	72.7674	55.0371	51.5799	66.0398	62.7272	53.1225	57.4259	99.5391	71.2398	78.5235	62.756	75.6536	65.341	81.5293	106.317	51.3744	98.8017	77.3123
?|10431	1095.283	794.5047	704.4917	1053.2066	1042.1557	1376.0166	1110.3363	1069.6781	1171.2607	554.7424	814.3772	714.5597	810.6339	1027.4914	968.3799	509.7501	783.0478	864.1509	869.9142	884.4707	719.9008
?|136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	607.5472	59.2568	42.0278	91.7732	49.5728	222.1838	44.9893	132.4422	46.995	151.4009	91.5218	178.204	134.1513	51.89	108.2256	144.2827	110.7304	86.0377	158.2878	195.5938	134.915
?|26823	6.6038	1.3242	0	0	1.1267	0.6922	0	0.3073	0.9038	0	0.3328	0.6975	0.818	0.6873	0	0.3662	0.7214	0	0.8918	0.5373	0
?|280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|340602	0	1.3242	0	0	0	2.0765	0	1.5365	0.4519	0	0	0.6975	0	0	0.4346	0	0	0.3774	0	0	0
?|388795	1.8868	0	0.5253	6.5552	0.7511	2.7686	0.4499	1.8437	0	0.2957	0	0	1.227	3.7801	0.8693	0	0.3607	0	0	1.0747	0.3541
?|390284	3.7736	5.2967	14.1844	5.6812	3.7555	12.4589	4.9488	6.4531	18.075	4.4356	7.3217	7.3235	16.7689	8.2474	14.7778	39.5496	4.6889	10.566	33.4411	19.8818	9.5609
?|391343	0	0.9931	0	0	0.3756	0	0	0	0	0	0	0	0.409	0	0	0	0	0	0.4459	0	0
?|391714	0.9434	1.9863	0	0	0	0	0	0	0.4519	0	0.3328	0.6975	0	0	0	0.3662	0.3607	0.3774	0	1.0747	0
?|404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|553137	41.5094	12.9107	30.9955	132.8526	111.1633	53.9886	50.8379	489.2064	0.9038	16.2638	14.3107	0	23.7219	0.6873	44.3334	2.5634	9.7385	64.9057	93.1892	22.5685	1.4164
?|57714	93.3962	327.0711	236.932	140.2819	339.4986	176.5011	832.3023	248.2907	142.7926	647.8894	344.1218	414.9956	386.9121	428.866	149.5165	398.7915	531.6501	132.4528	391.0378	199.8925	177.762
?|645851	4.717	3.9725	3.1521	4.8072	2.6289	2.7686	4.049	4.6094	1.3556	3.5485	2.9953	1.7437	2.863	6.5292	5.2157	4.3944	3.6069	1.1321	4.0129	2.1494	3.5411
?|652919	0	70.701	34.2159	1.311	42.5124	0	96.3581	61.5503	22.0651	62.3937	0	82.6643	31.0143	50.5842	0	131.3412	3.275	54.3396	6.2423	0	0
?|653553	1906.6038	778.9456	596.7954	365.7817	281.6637	1162.8309	273.535	506.722	905.5581	801.0645	699.559	730.2528	807.771	208.2474	822.7752	774.8787	355.9964	520	2872.3665	1418.0548	641.289
?|728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728603	0	0	0	0	0	0	0	0	0	0	0	0	1.636	0	0	0	0	0	0	0	0
