TCGA-KL-8324-01A-11R-2315-07	TCGA-KL-8325-01A-11R-2315-07	TCGA-KL-8328-01A-11R-2315-07	TCGA-KL-8330-01A-11R-2315-07	TCGA-KL-8331-01A-11R-2315-07	TCGA-KL-8333-01A-11R-2315-07	TCGA-KL-8337-01A-11R-2315-07	TCGA-KL-8340-01A-11R-2315-07	TCGA-KL-8342-01A-11R-2315-07	TCGA-KL-8346-01A-11R-2315-07	TCGA-KM-8438-01A-11R-2315-07	TCGA-KM-8442-01A-11R-2315-07	TCGA-KM-8443-01A-11R-2315-07	TCGA-KN-8418-01A-11R-2315-07	TCGA-KN-8419-01A-11R-2315-07	TCGA-KN-8421-01A-11R-2315-07	TCGA-KN-8428-01A-11R-2315-07	TCGA-KN-8431-01A-11R-2315-07	TCGA-KN-8432-01A-11R-2315-07	TCGA-KN-8434-01A-11R-2315-07	TCGA-KN-8435-01A-11R-2315-07	TCGA-KN-8436-01A-11R-2315-07	TCGA-KO-8407-01A-11R-2315-07	TCGA-KO-8409-01A-11R-2315-07	TCGA-KO-8414-01A-11R-2315-07
?|100130426	0	0	0	0	0.4225	0	0.7854	0	0	0	0	0	0	0	0	0	0.3051	0	0	0.4241	0.3574	0	0.4504	0	0
?|100133144	10.2397	6.0252	1.7671	5.2891	1.8747	5.9159	1.8971	3.3939	1.0328	0.8599	2.5567	14.2178	7.3859	10.8591	6.2837	4.7507	21.1208	0	9.6729	6.161	30.399	17.2822	7.8356	6.1565	3.2197
?|100134869	25.0047	9.6636	13.1853	6.4717	7.5605	3.999	4.553	3.3267	3.0085	24.936	11.5125	12.4174	7.1369	11.5518	7.6698	7.9978	18.1541	7.2727	12.8878	8.9255	27.1999	21.3621	11.8408	7.6939	6.9306
?|10357	60.3947	112.4619	53.1083	53.1983	66.609	82.9579	55.3381	71.6917	87.0633	52.4947	57.3395	57.1038	51.7759	59.837	95.3581	71.9685	128.4924	41.8	49.5037	43.0496	64.1672	124.5945	56.3271	71.5997	40.8323
?|10431	1259.8684	618.8726	988.2193	654.688	797.0759	670.908	579.3714	562.8478	812.3035	764.8488	1234.2145	730.9508	711.6183	772.4958	949.7674	1058.1177	411.4804	1474.5455	557.8116	671.5548	660.3053	1435.0422	724.53	1155.1247	739.3423
?|136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	218.0451	93.7989	137.7435	168.5724	170.2452	66.0993	165.4263	109.6293	61.9668	126.8299	99.9403	116.6554	197.0954	116.8081	73.4884	163.8545	225.3776	122.7273	171.4608	128.4395	175.9195	219.6038	184.5212	235.4571	396.6707
?|26823	1.4098	0.3338	3.1717	1.3068	0.8205	0.3305	2.2765	0	0.449	4.2993	2.4257	0	2.4896	1.6978	0	1.1249	0.6042	0.9091	2.2561	0.8155	2.0819	0.7432	0.4373	0.6925	1.218
?|280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|340602	0	0.3338	0	0	0.4102	0	0.3794	0.8401	0	0	0	0	0	0	0	0	0.3021	0	0	0.4077	0	3.3442	2.6235	0	0
?|388795	0	0	0	0	0.4102	1.983	1.5177	0.42	0	0.4299	0	0	0	0	0	0.375	0.3021	0	0	0.4077	0	0	0.4373	0	0.812
?|390284	7.9887	5.6747	11.7807	9.1473	19.2808	5.9489	4.9324	9.2408	12.573	4.2993	11.1584	4.383	10.7884	13.5823	6.0465	6.3742	9.9698	54.5455	50.1974	34.2505	10.0625	14.12	46.7862	17.313	29.2326
?|391343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4651	0	0	0	0	0	0	0.7432	0	0	0
?|391714	0	0.6676	0	0.9801	0	0	1.5177	0	0	0.8599	1.4554	1.0115	0.4149	0.3396	0	0	0.9063	0	0	0	1.0409	1.8579	0.8745	2.7701	0
?|404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
