TCGA-KL-8323-01A-21R-2315-07	TCGA-KL-8326-01A-11R-2315-07	TCGA-KL-8334-01A-11R-2315-07	TCGA-KL-8335-01A-11R-2315-07	TCGA-KL-8338-01A-11R-2315-07	TCGA-KL-8343-01A-11R-2315-07	TCGA-KL-8344-01A-11R-2315-07	TCGA-KL-8345-01A-11R-2315-07	TCGA-KM-8440-01A-11R-2315-07	TCGA-KN-8429-01A-11R-2315-07	TCGA-KN-8433-01A-11R-2315-07	TCGA-KO-8405-01A-11R-2315-07	TCGA-KO-8408-01A-11R-2315-07	TCGA-KO-8416-01A-11R-2315-07
?|100130426	0	0	0	0	0	0	0	0	0	0	1.4098	0	0	0
?|100133144	8.8472	1.6957	8.0585	3.7604	0.8741	8.2147	8.5501	3.3798	3.7978	8.8466	8.177	0.4801	7.1955	1.3153
?|100134869	5.5126	11.1581	7.305	9.4833	6.6447	8.9723	6.9538	5.5349	4.5657	15.183	29.8557	7.6812	12.5694	3.4197
?|10357	98.6478	78.3389	70.1454	52.5093	49.469	80.2455	92.2739	75.3295	60.2433	62.78	30.9115	75.0936	61.9498	52.9843
?|10431	723.574	1422.8155	933.5162	693.4885	981.6729	559.1021	880.2756	711.2403	742.8246	531.9778	880	1133.4614	837.6068	678.6795
?|136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	175.5086	137.4367	124.3713	128.4238	109.9624	131.8835	90.7264	62.7907	112.5261	132.3475	299.6721	125.3	417.2009	108.9044
?|26823	3.5899	0	0	2.0066	0.4699	0	0	1.5504	1.5206	1.4787	0.6557	0	0.5342	0.5261
?|280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|340602	0	0.4944	4.3896	0	2.8195	0.3508	0	0	0	0.7394	0	0	6.9444	0.5261
?|388795	0.7978	3.4606	0.7316	0	0	0	0.2871	0	0	0	0.6557	1.4402	0	0
?|390284	10.371	8.8988	8.0476	12.4411	3.2895	5.6121	10.0488	8.5271	10.2642	5.5453	24.2623	41.2866	17.6282	19.9921
?|391343	0	0.4944	0	0	0.4699	0	0	0	0	0	0	0	0	0
?|391714	0.3989	0	0.3658	0.4013	0	0.3508	0	0.7752	0	0.7394	0.6557	0	0	0
?|404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0.4944	0	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|553137	40.2872	49.932	6.9502	8.8291	34.7744	30.1649	223.9449	54.2636	23.5697	7.3937	67.541	1.4402	9.0812	55.7675
?|57714	359.7926	130.021	358.1161	441.4568	101.0338	599.4388	1026.414	309.3023	202.2429	320.1479	139.6721	292.8469	70.5128	164.6718
?|645851	4.3877	1.9775	3.2922	8.0265	2.8195	3.8583	1.4355	3.1008	1.5206	2.2181	4.5902	5.7609	2.1368	1.5783
?|652919	0.3151	0	49.9753	9.696	0	0	13.0807	169.0426	48.7436	40.3031	0	0	0	59.6764
?|653553	508.1771	558.151	794.513	837.1626	1263.1579	306.5591	223.9449	715.1163	590.0019	353.7893	1430.8197	1897.2636	809.8291	1232.1452
?|728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728603	8.7754	0	0	0	0	0	0	0	0	0	0	0.9602	0	0
?|728788	7.1799	0.9888	2.1948	0.4013	0.4699	0.7015	2.584	3.876	3.0412	4.8059	0.6557	0.9602	0	2.6305
?|729884	89.7487	0.9888	3346.3192	13.645	9.3985	7.0151	0	14.3411	11.0245	963.0314	66.8852	1085.4537	14.9573	13.1527
?|8225	1055.0459	1551.8477	748.4225	588.3415	1631.109	830.235	446.4542	609.3023	580.1178	555.268	1754.7541	963.0341	1690.7051	939.6291
?|90288	1.1966	1.4831	0.7316	2.4079	3.7594	2.806	22.1074	1.1628	1.5206	0	0.6557	0.4801	2.6709	0.5261
A1BG|1	9.1903	132.6906	20.4847	11.2371	18.3271	100.7822	88.5099	8.5271	25.1283	25.0869	37.5672	74.2439	21.3194	32.3399
A1CF|29974	0	0	0.7316	0	0	1.403	0.5742	0	0.3802	0	0	0	0	0.5261
A2BP1|54715	0	1.4831	5.8528	0.4013	7.0489	0.7015	0	110.4651	0	1.8484	0	0	1.6026	2.1044
A2LD1|87769	58.4603	63.3445	56.6731	59.38	37.8712	56.0119	78.6047	53.3023	18.0688	32.6691	145.5803	57.4364	38.9476	24.0484
A2ML1|144568	0	0.4944	0	2.4079	0	0.3508	0.2871	0.3876	0.7603	0.7394	1.3115	0	0	0
A2M|2	6907.8181	4689.0866	5799.6488	5722.6568	3952.9088	6981.3188	19813.0146	8155.2868	4184.6645	6185.0351	6323.1475	14815.9818	8957.2222	7693.1527
A4GALT|53947	99.3219	973.9216	983.9963	120.7986	1168.703	507.5412	1493.8272	267.8295	80.2129	136.7837	2261.6393	954.8728	213.141	826.5158
A4GNT|51146	0	0	0.3658	0	0	0.3508	2.2969	0	0	0	0.6557	0	0	0
AAA1|404744	0	0	0	0	0	0.3508	0	0	0	0	0	0	0	0
AAAS|8086	919.4256	808.3055	978.5094	1031.0023	1183.7406	771.3083	657.1921	877.1318	935.1834	1073.1978	751.4754	722.9957	958.8675	1096.9354
AACSL|729522	0	0	0	0	3.2895	0	0	2.7132	0	0	0	0	0	0
AACS|65985	633.4264	1106.4145	857.4303	1551.52	1139.0977	861.8029	422.9113	724.031	964.4554	556.0074	1091.8033	948.1517	2298.6111	688.1494
AADACL2|344752	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3|126767	0	0	0.3658	0	0	0	0	0	0	0	0	0	0	0
AADACL4|343066	0	0	0.3658	0	0	0.3508	0	0	0	0	0	0	0	0
AADAC|13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT|51166	35.8995	125.0772	77.1834	77.4556	99.6241	273.2375	507.0342	36.0465	78.6923	156.0074	16.3934	68.651	115.3846	43.667
AAGAB|79719	1447.9458	962.0566	2234.6594	1455.2022	1566.2594	1378.4637	1238.8745	2034.8837	1521.7639	1494.6396	1249.8361	1347.0955	1532.5855	1596.212
AAK1|22848	1270.8416	1404.0292	1027.8921	749.6739	922.9323	2178.1831	2179.7301	1357.3643	1085.345	1015.8965	1255.082	693.2309	1047.0085	1147.4418
AAMP|14	1585.1615	2608.8246	1473.4339	1318.3506	2054.9812	2507.1905	2073.2127	1340.6977	1457.8977	1374.8614	1776.3934	1460.8737	2238.7821	1539.9185
AANAT|15	1.5955	0.4944	0	3.2106	0.4699	0.3508	1.1484	0	0	0.3697	2.623	0	0.5342	0
AARS2|57505	460.3071	681.2409	544.6401	534.1387	735.8976	602.2238	503.2903	610.4457	626.4893	472.451	502.9115	450.3072	691.7682	548.1573
AARSD1|80755	388.911	834.5075	326.6575	267.6834	396.6165	501.2276	442.4347	237.9845	270.2908	259.8891	337.0492	365.3385	357.906	339.8658
AARS|16	5694.8544	3235.1996	5695.4733	4304.6052	3899.4361	4134.3388	3279.0698	2992.2481	2966.7364	7097.597	4640.6557	2475.276	3552.3504	3778.5085
AASDHPPT|60496	998.4045	790.0136	1107.2702	967.9302	746.7105	1242.3115	1119.7244	569.2016	1161.3343	1297.5675	666.2295	1011.9539	616.9872	1035.7438
AASDH|132949	390.9055	170.5599	323.3653	265.6767	307.3308	326.2013	273.9018	455.0388	365.7099	376.7098	204.5902	164.6663	177.8846	241.4836
AASS|10157	60.6302	176.9868	376.406	54.5801	240.1316	475.9733	489.5205	256.5891	100.7413	194.085	66.2295	91.6947	269.2308	482.4411
AATF|26574	528.919	982.8204	445.9076	504.0634	539.0038	783.234	752.2251	343.7984	325.0333	540.1109	668.1967	625.5401	713.6752	552.9396
AATK|9625	16.7531	24.2244	39.872	16.8556	37.1241	22.4483	105.3689	15.1163	22.8094	91.3124	122.623	151.7043	128.2051	75.7596
ABAT|18	329.0786	174.5149	751.3489	300.9933	617.4812	467.5552	796.727	1053.4884	259.2663	138.2625	350.8197	117.1387	205.1282	707.6154
ABCA10|10349	7.1799	11.865	8.4134	26.8887	13.6278	5.6121	1.1484	3.1008	19.0116	9.6118	28.1967	20.1632	103.1143	4.2089
ABCA11P|79963	88.0694	108.1201	79.2391	86.6379	73.1861	135.5875	133.7927	84.5271	96.7269	143.1941	38.5377	71.3154	70.9829	84.0458
ABCA12|26154	38.2928	0.4944	4.3896	0.4013	3.2895	3.1568	4.3066	5.4264	0.3802	1.1091	0.6557	24.4839	2.1368	1.0522
ABCA13|154664	84.9621	0	35.8482	1.204	13.1579	2.1045	1.4355	209.6899	23.1895	1378.1885	0.6557	11.0418	3.7393	119.4265
ABCA17P|650655	7.9777	29.6626	5.8528	4.4146	6.109	29.8141	6.8906	26.3566	8.3634	9.2421	12.459	3.3605	29.3803	4.735
ABCA1|19	2652.872	284.2665	1975.6561	1187.0974	970.8224	338.1165	999.3511	1726.3062	1650.2452	1572.5619	341.6393	1426.7595	489.2628	1163.1672
ABCA2|20	3635.4208	2031.3929	6756.2872	7718.6716	6593.0451	1096.8081	2758.8286	5954.2636	9650.6368	3571.9039	2884.5902	4264.0422	5608.4402	3606.9972
ABCA3|21	1076.1867	829.0693	1309.1907	1597.271	825.188	821.1154	1099.9139	1218.9922	813.1534	670.2403	2205.9016	638.0221	1107.906	859.6607
ABCA4|24	10.371	1.4831	5.487	1.204	0.9398	1.0523	8.3262	1.5504	1.5206	4.0665	1.3115	8.1613	4.8077	1.0522
ABCA5|23461	989.629	890.8664	951.4403	1167.8539	987.312	1458.7864	691.9322	927.5194	1243.8662	1076.8946	657.7049	773.4037	1422.5267	627.647
ABCA6|23460	1.1966	7.91	3.658	11.2371	22.0865	64.188	1.4355	2.3256	3.0412	2.2181	13.7705	26.4042	21.9017	3.6828
ABCA7|10347	666.9326	289.7046	698.674	286.5456	427.6316	237.8113	335.3431	494.186	285.8772	226.6174	407.8689	334.1335	216.8803	335.1309
ABCA8|10351	0.3989	474.107	16.8267	24.0795	4.2293	780.0772	2132.3572	48.062	32.6934	1.4787	35.4098	91.6947	84.9359	229.3831
ABCA9|10350	4.7866	12.3594	3.658	18.8622	3.2895	34.0231	10.623	3.1008	1.5206	1.1091	17.0492	16.3226	20.2991	2.6305
ABCB10|23456	174.7108	181.9305	129.8583	161.3324	133.4586	334.6194	257.5366	202.7132	202.6231	219.963	284.5902	244.3591	120.7265	113.1132
ABCB11|8647	0	0	1.0974	0	0	0	0	0	0	0.3697	0	0	19.2308	0
ABCB1|5243	49.0626	4.9438	49.7485	5.2172	51.6917	12.9779	49.6698	10.4651	12.9253	25.1386	23.6066	24.964	28.312	22.0965
ABCB4|5244	1.1966	1.4831	6.2186	0.8026	8.4586	2.4553	7.4648	5.0388	11.4047	2.2181	1.9672	13.4422	5.8761	3.6828
ABCB5|340273	0.7978	0	9.1449	0	1.8797	0.3508	0	0.7752	0.7603	0	2.623	2.8805	1.0684	2.1044
ABCB6|10058	194.3119	87.5689	83.3214	65.0627	135.282	63.3462	133.0462	81.1395	29.2568	48.1405	85.4557	109.1311	151.656	80.2841
ABCB7|22	638.213	541.8366	761.5912	765.7269	648.4962	619.4318	582.2567	801.5504	754.2292	1050.647	551.4754	542.9669	716.3462	852.8213
ABCB8|11194	1708.0176	1484.6125	1363.3288	820.7083	1218.515	1542.2659	822.5668	1053.1008	784.6417	480.2218	1743.6066	1194.9112	2015.4915	1034.3286
ABCB9|23457	324.99	146.3453	341.9552	215.9526	510.8976	246.7099	106.9538	532.4729	307.0291	290.6063	215.5672	92.9477	681.4156	251.6691
ABCC10|89845	224.5712	342.1085	209.2364	167.7536	255.6391	266.9239	412.8625	213.5659	170.69	207.3937	370.4918	334.6135	269.765	261.4757
ABCC11|85320	5.5844	1.9775	1.829	3.6119	3.2895	2.4553	0.5742	2.3256	1.9008	4.8059	2.623	0	0	1.0522
ABCC12|94160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13|150000	0	0.4944	0	0	0	0	0	0.7752	0	4.4362	0	3.8406	0	0
ABCC1|4363	2005.9832	567.0498	474.4399	811.4779	914.9436	759.3827	1150.1579	2531.0078	413.9897	328.281	1575.082	650.9842	855.235	978.035
ABCC2|1244	1.9944	1.9775	1.829	3.6119	2.3496	2.4553	4.5937	1.1628	1.5206	5.915	1.3115	3.3605	3.2051	1.0522
ABCC3|8714	101.7152	80.5834	34.0192	20.8689	60.1504	19.6422	512.7763	16.2791	4.942	49.5379	70.1639	597.2156	10.6838	82.599
ABCC4|10257	942.1619	3115.5605	1669.1358	2581.3184	381.109	5651.7012	4985.9317	6563.1783	2391.5605	2279.8521	573.7705	1223.2357	1053.953	393.5289
ABCC5|10057	3100.1197	3695.9585	3873.0681	4003.6119	3757.5188	4359.1722	2731.2661	2859.6899	4143.3188	3153.7893	2837.377	1942.3908	2706.7308	3988.4256
ABCC6P1|653190	0	0.4944	0.3658	3.2106	0	1.403	4.8808	0	0.3802	1.4787	5.2459	2.8805	0	0.5261
ABCC6P2|730013	0.3989	15.3257	6.2186	9.6318	7.0489	34.0231	8.9004	1.1628	4.942	7.024	32.7869	10.5617	18.1624	5.7872
ABCC6|368	4.7866	76.6284	14.9977	73.8437	22.5564	149.0705	53.1151	3.4884	14.4459	15.5268	160.6557	131.061	32.5855	20.5182
ABCC8|6833	12.3654	2.4719	4.7554	0.4013	5.6391	2.1045	1.7227	10.8527	1.1405	17.3752	1.9672	2.8805	3.7393	0.5261
ABCC9|10060	73.7934	83.0552	49.7485	127.6211	24.4361	257.4535	287.1088	194.186	128.4927	223.6599	87.8689	96.4954	131.9444	68.9202
