TCGA-KL-8336-01A-11R-2315-07	TCGA-KL-8339-01A-11R-2315-07	TCGA-KL-8341-01A-11R-2315-07	TCGA-KN-8426-01A-11R-2315-07	TCGA-KN-8427-01A-11R-2315-07	TCGA-KO-8404-01A-11R-2315-07
?|100130426	0	0	0.2887	0.4268	0	0
?|100133144	3.7819	22.5036	15.9047	30.7276	21.4202	4.9342
?|100134869	8.0604	25.6286	12.4064	46.1016	13.7541	0
?|10357	69.1204	58.3549	54.2341	38.1504	110.7563	59.6765
?|10431	924.458	766.1638	929.2221	707.7236	1471.0741	860.7456
?|136542	0	0	0	0	0	0
?|155060	53.8631	45.6178	41.2053	88.2114	197.239	582.7851
?|26823	0.382	1.796	0.5606	0.813	0.9862	1.6447
?|280660	0	0	0	0	0	13.1579
?|317712	0	0	0	0	0	0
?|340602	0	0	0	0	0	131.0307
?|388795	0.382	0	0.2803	0	3.616	1.6447
?|390284	14.5163	18.319	7.8486	7.7236	7.5608	13.7061
?|391343	0	0	0	0	0	56.4693
?|391714	0.382	0.3592	0.8409	1.2195	0	0
?|404770	0	0	0	0	0	0
?|441362	0	0	0	0	0	0
?|442388	0	0	0	0	0	0
?|553137	1.91	19.0374	75.9636	2.439	0.3287	0.5482
?|57714	358.705	422.773	463.3497	217.8862	594.0181	287.8289
?|645851	3.0561	3.9511	4.2046	8.9431	2.3011	1.0965
?|652919	28.8225	35.8369	0	51.2033	28.5405	1.0965
?|653553	473.3072	410.5603	426.9096	1326.0163	619.9879	1925.4386
?|728045	0	0	0	0	0	0
?|728603	0	0	0	0	0	0
?|728788	4.9661	0.7184	1.1212	0	0.6575	0.5482
?|729884	492.4076	1.0776	52.1374	198.374	0.3287	0.5482
?|8225	480.1834	610.9914	45.9706	934.1463	326.7592	1732.4561
?|90288	2.292	0.7184	0.2803	2.439	0	12.6096
A1BG|1	12.1631	6.2464	1.466	9.7561	197.903	155.6689
A1CF|29974	0	0	0	0.4065	0	0.5482
A2BP1|54715	106.1981	0.3592	2.8031	0	0.3287	1.6447
A2LD1|87769	87.8426	44.7737	9.5753	62.6016	64.9508	58.2566
A2ML1|144568	2.292	2.5144	0.2803	0.4065	0	0
A2M|2	10434.4915	4392.9095	4188.5999	6527.9919	5304.4071	2932.352
A4GALT|53947	128.7365	102.7299	53.5389	382.9268	764.9585	528.5088
A4GNT|51146	0	0	0	0.4065	3.2873	1.0965
AAA1|404744	0	0	0	7.7236	0	0
AAAS|8086	1214.0197	948.9943	885.7744	816.6667	781.0664	1055.9211
AACSL|729522	0	0	0	0	0	59.2105
AACS|65985	2308.089	936.0632	1610.6517	1243.4959	589.4158	481.9079
AADACL2|344752	0	0	0.8409	0	0	0
AADACL3|126767	0	0	0.2803	1.2195	0	0
AADACL4|343066	0	0	0	0	0	1.0965
AADAC|13	0	0.3592	0	0	0	0
AADAT|51166	172.2854	172.4138	33.637	221.9512	135.1087	35.636
AAGAB|79719	1717.5055	1406.25	3083.672	1775.6098	1076.9248	796.6009
AAK1|22848	1763.7284	1241.7385	1995.5151	919.9187	1694.9403	1609.1009
AAMP|14	1594.8811	1834.7701	1481.7099	1553.252	1850.1017	1313.0482
AANAT|15	0.382	2.1552	0	3.252	0	2.7412
AARS2|57505	638.7126	533.7572	478.1668	510.1545	588.0976	385.9375
AARSD1|80755	257.091	406.25	243.8683	289.8374	517.4236	765.3509
AARS|16	3592.3981	5676.3649	12837.281	12136.9919	3554.5752	1738.4868
AASDHPPT|60496	1202.0858	554.9569	1540.7821	708.0691	947.7333	769.1886
AASDH|132949	380.8614	310.3448	433.637	163.0081	193.6229	121.7105
AASS|10157	77.1655	21.5517	41.2053	115.8537	53.5833	447.3684
AATF|26574	496.2277	1047.0546	606.3069	798.374	2283.6987	1220.943
AATK|9625	22.5384	13.6494	8.4093	23.5772	30.2433	189.8684
ABAT|18	65.3233	217.6724	171.5487	106.0976	29.9146	109.1009
ABCA10|10349	18.3364	9.3391	3.0834	23.5772	6.2459	6.5789
ABCA11P|79963	83.4877	48.7751	115.3104	62.9187	107.1369	53.1853
ABCA12|26154	2.292	0	14.576	10.5691	7.5608	0
ABCA13|154664	3.8201	0.7184	2.8031	2.439	2.6299	24.1228
ABCA17P|650655	2.6741	21.5517	14.2957	3.6585	0.9862	1.6447
ABCA1|19	2636.5467	1051.7026	2402.4947	596.3252	1656.7943	2313.0482
ABCA2|20	3941.9349	3470.1868	3586.2649	2529.6748	1131.1656	1272.4781
ABCA3|21	521.8222	728.0891	1065.452	901.626	915.1889	81.6886
ABCA4|24	8.4042	1.4368	0.5606	2.0325	10.1907	3.8377
ABCA5|23461	1483.7169	1243.8937	1008.8297	554.065	9.5332	140.8991
ABCA6|23460	9.5502	0.7184	0.5606	3.252	43.3926	240.1316
ABCA7|10347	424.7923	214.4397	417.0988	130.8943	757.7264	532.8947
ABCA8|10351	269.3153	3.2328	0.5606	7.7236	81.5254	3.2895
ABCA9|10350	5.3481	15.8046	0.5606	10.1626	36.8179	174.8904
ABCB10|23456	184.8916	225.9339	262.9292	217.4797	498.3572	145.8333
ABCB11|8647	0	0	0	0.4065	0	0
ABCB1|5243	9.5502	12.931	7.0077	13.4146	16.7653	2.193
ABCB4|5244	2.6741	2.1552	1.9622	2.439	2.3011	100.8772
ABCB5|340273	3.4381	0	0.2803	0.4065	0	407.8947
ABCB6|10058	102.0304	111.329	121.6594	59.065	301.2891	525.1919
ABCB7|22	1230.828	1163.4339	1141.4156	652.0325	327.088	160.636
ABCB8|11194	1278.9609	612.7874	812.0533	374.3902	747.207	1332.7851
ABCB9|23457	518.6744	247.3024	437.9453	227.5366	165.8813	166.409
ABCC10|89845	239.5187	135.0575	148.5634	205.2846	762.3287	557.5658
ABCC11|85320	0.764	0	7.8486	4.4715	0	0
