TCGA-2K-A9WE-01A-11R-A38C-07	TCGA-2Z-A9J3-01A-12R-A38C-07	TCGA-2Z-A9J5-01A-21R-A38C-07	TCGA-A4-7828-01A-11R-2139-07	TCGA-A4-7915-01A-11R-2204-07	TCGA-A4-A5XZ-01A-11R-A31O-07	TCGA-AL-3468-01A-02R-1351-07	TCGA-AL-3473-01A-01R-1193-07	TCGA-B1-7332-01A-11R-A32Z-07	TCGA-B3-4104-01A-02R-1351-07	TCGA-B9-7268-01A-11R-A32Z-07	TCGA-B9-A5W8-01A-11R-A28H-07	TCGA-BQ-7051-01A-12R-1965-07	TCGA-IA-A83S-01A-11R-A355-07	TCGA-IA-A83T-01A-11R-A355-07	TCGA-IZ-8195-01A-31R-2404-07	TCGA-MH-A855-01A-11R-A355-07	TCGA-SX-A7SR-01A-12R-A36F-07	TCGA-UZ-A9PL-01A-11R-A38C-07	TCGA-UZ-A9PM-01A-21R-A38C-07	TCGA-UZ-A9PS-01A-11R-A42S-07
?|100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|100133144	5.0494	5.8053	1.3098	3.3675	0.7762	10.0587	18.5194	3.2042	5.5398	50.438	3.0715	0.7803	13.129	0	0	2.4896	1.9145	25.199	9.8096	1.7476	14.506
?|100134869	5.7378	5.0525	7.3176	1.7503	0.7762	3.6968	16.644	9.5991	10.1302	30.9136	10.9189	2.7664	9.2207	10.6969	5.3293	27.1488	11.1202	27.8567	14.0964	4.363	22.4472
?|10357	54.6809	74.9367	74.7294	92.9017	64.364	46.7689	54.7872	61.9508	55.5364	91.9212	42.7822	82.5417	96.5665	56.5438	29.1663	88.6841	51.2424	66.5824	47.0259	59.4012	57.5075
?|10431	781.8158	899.0228	1236.0784	696.52	892.5973	970.9127	1355.9531	1641.1725	1427.8143	816.02	957.3927	1120.733	773.1408	1112.4779	1048.7248	877.8897	943.3809	841.4528	706.2399	936.1442	960.4072
?|136542	0	0	0	0	0	0	0	0.3369	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	293.823	667.3905	224.3137	74.7185	134.6658	129.5315	361.5052	121.9677	46.5491	310.388	56.9157	73.888	117.2864	57.0502	80.3198	72.3177	84.3177	373.8688	385.3323	58.0507	298.2655
?|26823	0	0.3619	0.7843	0	0	0	3.0845	1.0108	0	2.5031	0	0	0.5934	0.7131	0	0	0	0.9917	0.4052	0	0.3771
?|280660	0	0	0	0	0.7762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|340602	1.0274	0	0.7843	0	161.8318	0.5731	0	1.3477	9.2177	0	0.318	0.5911	1.1867	2.1394	3.0453	0.5928	0.8147	1.4875	3.6467	0	2.6395
