TCGA-2Z-A9J7-01A-11R-A38C-07	TCGA-A4-A57E-01A-11R-A26U-07	TCGA-AL-3466-01A-02R-1351-07	TCGA-AL-7173-01A-11R-2139-07	TCGA-BQ-5877-01A-11R-1592-07	TCGA-BQ-5889-01A-11R-1592-07	TCGA-BQ-5893-01A-11R-1592-07	TCGA-BQ-5894-01A-11R-1592-07	TCGA-F9-A8NY-01A-11R-A36F-07	TCGA-G7-6789-01A-11R-1965-07	TCGA-G7-6793-01A-11R-1965-07	TCGA-G7-A8LB-01A-11R-A36F-07	TCGA-GL-6846-01A-11R-1965-07	TCGA-SX-A7SM-01A-11R-A355-07
?|100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5643
?|100133144	9.2934	4.569	22.0707	8.0767	3.5537	1.0922	4.5912	3.3599	5.6143	4.2583	7.9789	7.119	4.075	4.588
?|100134869	9.1983	12.9294	59.4839	1.5994	7.4984	4.186	11.687	6.462	20.4571	6.6917	5.7558	3.2453	2.8374	7.8273
?|10357	56.484	111.3545	5.0972	67.2263	95.8158	108.2217	116.9626	125.1647	36.5045	73.8072	68.2009	74.4939	78.7788	54.0519
?|10431	1596.6187	1372.0026	1123.9248	1359.7795	654.056	997.97	908.6201	1038.2648	880.1345	289.9726	843.8872	1541.7004	880.8427	1018.0587
?|136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	936.7323	146.4679	639.6942	77.409	44.4917	197.3203	296.3374	164.5181	469.2852	94.4946	93.9072	1272.8745	160.3028	216.14
?|26823	0.5283	0.6481	1.2743	0	0	0	0	0.8185	0.4495	0.4056	0	0	0.3292	0.5643
?|280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|340602	0.5283	0	0	2.2767	1.9837	2.03	0.37	6.1387	0	2.4333	2.8747	0	0	2.2573
?|388795	0	1.9443	8.92	0	0.2834	0.812	0	1.637	0	0	0	0	0	1.1287
?|390284	6.34	6.4809	16.5658	10.2453	6.2345	4.0601	1.8498	4.0925	4.0456	2.4333	4.1524	5.1822	3.2916	11.2867
?|391343	0	0	8.92	0	0	1.624	0	12.2775	0	0	0	0	0	0.5643
?|391714	0	0	0	0	0.2834	1.218	0.37	0	0.4495	0	0	0	0.3292	0
?|404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0
