TCGA-2Y-A9GS-01A-12R-A38B-07	TCGA-BW-A5NP-01A-11R-A27V-07	TCGA-DD-A119-01A-11R-A131-07	TCGA-DD-A1EK-01A-11R-A213-07	TCGA-DD-A3A9-01A-11R-A266-07	TCGA-FV-A2QQ-01A-11R-A22L-07
?|100130426	0	0	0	0	0	0
?|100133144	26.412	3.9483	1.2564	2.3096	2.0647	1.4652
?|100134869	2.6663	8.7408	1.5511	1.0377	0	1.6656
?|10357	71.0054	131.5715	63.6884	84.8536	70.7708	125.6356
?|10431	639.2311	1480.2343	1735.0412	1219.2469	1849.2774	1046.9631
?|136542	0	0	0	0	0	0
?|155060	122.7206	88.8238	98.9647	30.9623	110.117	43.206
?|26823	1.4786	0	0	0	0	0.6262
?|280660	0	0	0	3.3473	0	0
?|317712	0	0	0	0	0	0
?|340602	10.3499	0	0	0.8368	0	1.8785
?|388795	0	0.488	2.1056	0	0.6882	0
?|390284	1.9714	3.9043	3.5094	7.5314	2.7529	6.2617
?|391343	1.4786	0	0	0	0	0.6262
?|391714	0	0	0	0	0.6882	0
?|404770	0	0	0	0	0	0
?|441362	0	0	0	0	0	0
?|442388	0	0	0	0	0	0
?|553137	336.619	156.1737	1.4038	87.0293	52.3056	190.9831
?|57714	894.5293	99.0727	37.1995	455.2301	83.9642	159.0482
?|645851	19.7141	3.9043	0	3.3473	0	0
?|652919	0	0.9761	0	7.1213	0	0
?|653553	536.7176	720.8394	996.6661	254.3933	671.0255	1041.9537
?|728045	0	0	0	0	0	0
?|728603	0	0	0	0.8368	0	0
?|728788	0.9857	0.9761	0	0	0	0
?|729884	0	0	0	0.8368	3.4412	0
?|8225	1281.4194	1028.7945	1168.6261	1017.5732	1196.1459	2045.0845
?|90288	27.5998	5.8565	120.0211	49.3724	4.8176	812.774
A1BG|1	22641.9271	4374.4802	50324.7798	33067.0042	25781.0461	61844.6462
A1CF|29974	1572.6959	1101.5129	1856.466	1477.8243	573.2966	1718.8478
A2BP1|54715	2.4643	0	0	1.6736	0	0
A2LD1|87769	98.6249	234.7926	356.7433	187.3473	268.3138	137.1822
A2ML1|144568	0	0	0	0	17.2058	0
A2M|2	31168.4524	41377.6525	124930.2123	46501.2218	70417.6394	87592.2605
A4GALT|53947	162.6417	91.264	115.8098	184.9372	462.4914	103.9449
A4GNT|51146	1.9714	759.8829	0	0.8368	3.4412	0.6262
AAA1|404744	0.4929	25.8663	0	10.8787	0	0
AAAS|8086	902.415	890.1903	608.5278	824.2678	1059.1879	978.0839
AACSL|729522	0	0	1.4038	8.3682	0	35.0657
AACS|65985	430.2612	605.6613	984.0323	246.8619	260.1514	521.603
AADACL2|344752	0	0	0	0	0	0
AADACL3|126767	0.4929	0	0	5.0209	0	0
AADACL4|343066	0	0	1.4038	0	0	0
AADAC|13	10364.7117	4390.4344	9913.3181	6440.1674	4611.1493	9520.9768
AADAT|51166	155.7417	8.2967	42.8145	395.8159	5.5058	198.4972
AAGAB|79719	1057.6639	860.9078	847.1662	728.8703	955.265	955.5416
AAK1|22848	541.1533	312.3475	510.265	614.2259	590.5024	639.3237
AAMP|14	3147.3632	3659.346	3331.8126	2906.2762	3427.3916	3698.8103
AANAT|15	0.9857	0	0	0	0	0
AARS2|57505	681.0695	722.2938	390.2439	551.4644	536.1321	572.9493
AARSD1|80755	884.6723	773.5481	1452.8865	385.7741	1508.6029	823.4189
AARS|16	8494.825	3113.714	3513.5989	5718.8285	3687.543	4735.1284
AASDHPPT|60496	976.343	893.5237	854.1849	498.7448	321.404	656.8566
AASDH|132949	159.1917	197.1694	136.8661	175.7322	103.2347	112.0852
AASS|10157	449.4825	338.2138	1203.72	1070.2929	59.1879	563.5567
AATF|26574	2001.9714	1260.6149	1346.2011	1115.4812	882.3125	1383.8447
AATK|9625	16.757	18.0576	91.946	36.8201	178.2519	17.5329
ABAT|18	11219.8127	2572.4744	6413.7568	14235.1464	1517.5499	13192.2354
ABCA10|10349	21.6856	21.4739	30.8826	4.1841	7.5705	65.1221
ABCA11P|79963	22.1735	49.7804	39.9228	19.5816	85.4095	52.7927
ABCA12|26154	0.9857	0	2.1056	2.5105	1.3765	0
ABCA13|154664	18.2356	0.488	0.7019	5.0209	0.6882	0.6262
ABCA17P|650655	1.9714	3.9043	2.1056	0.8368	4.1294	0
ABCA1|19	1248.3588	2194.2265	698.3681	1751.4561	2628.3551	840.9455
ABCA2|20	1125.1848	1359.6877	679.4174	1188.2845	944.9415	1125.2348
ABCA3|21	73.928	117.6184	124.2323	66.1088	618.0317	65.7483
ABCA4|24	49.7782	1.9522	9.1244	9.205	6.1941	61.9912
ABCA5|23461	1078.3637	882.3816	804.3516	487.8661	341.3627	483.4064
ABCA6|23460	2780.6801	64.4217	1746.2713	4104.6025	88.7818	1619.9123
ABCA7|10347	207.4914	32.6989	120.7229	393.3054	86.0289	199.1234
ABCA8|10351	804.83	10.7369	174.0656	24.2678	61.2526	206.0113
ABCA9|10350	87.7279	12.6891	100.3685	39.3305	4.8176	214.1515
ABCB10|23456	899.4579	1598.3407	960.1685	1058.5774	818.9952	780.2129
ABCB11|8647	2330.2119	27.3304	166.345	1003.3473	0	646.8378
ABCB1|5243	2697.3879	4.3924	1315.3185	452.7197	61.2526	888.541
ABCB4|5244	3971.4145	280.1367	1198.1049	5215.0628	340.6745	3000
ABCB5|340273	1.9714	1.4641	23.162	1.6736	0	0.6262
ABCB6|10058	1896.8359	3568.4236	2436.1537	1082.3096	2324.3221	3717.99
ABCB7|22	757.516	392.3865	317.9505	548.1172	322.0922	365.6857
ABCB8|11194	1333.6619	709.1264	1497.1048	2010.0418	2247.7632	2613.0244
ABCB9|23457	165.6235	34.0312	56.8802	60.1088	44.9002	101.0958
ABCC10|89845	350.4189	651.0493	217.582	250.2092	1123.1934	304.9468
ABCC11|85320	392.3115	14.6413	62.4671	916.318	27.5292	707.5767
ABCC12|94160	2.9571	0.488	0	0.8368	0	10.645
ABCC13|150000	0.4929	0.488	0	0	11.6999	0
ABCC1|4363	436.6683	55.1489	96.1572	496.2343	313.1452	227.3012
ABCC2|1244	4700.345	2660.3221	2260.0456	4517.1548	1356.5038	3026.2993
ABCC3|8714	9745.6875	2055.1489	1447.2715	8241.0042	7549.8968	3601.7533
ABCC4|10257	305.5692	793.5578	256.1853	579.9163	50.9291	552.9117
ABCC5|10057	707.7378	382.1376	221.0914	271.1297	275.2925	376.3306
ABCC6P1|653190	414.4899	447.0473	260.3966	214.2259	488.6442	412.0225
ABCC6P2|730013	169.5416	524.6462	331.2862	206.6946	1774.2602	138.3845
ABCC6|368	3635.2883	1094.6803	1771.5389	2188.2845	2366.139	3641.2023
ABCC8|6833	3.45	0.488	7.0188	82.8452	4.8176	13.7758
ABCC9|10060	107.9349	109.3216	90.5422	3366.5272	67.4467	233.5629
ABCD1|215	671.2666	857.4915	621.1616	1133.0544	1024.7763	1003.757
ABCD2|225	1.9714	1.9522	0.7019	2.5105	2.7529	8.1403
ABCD3|5825	3377.033	1838.9458	2130.9002	3117.1548	799.7247	2064.4959
ABCD4|5826	910.3006	666.6667	975.6098	781.59	827.254	814.6525
ABCE1|6059	1069.9852	1116.6423	1121.6003	851.8828	639.3668	1219.1609
ABCF1|23	2678.1666	2632.9917	4124.9342	2107.9498	2926.3593	2481.5279
ABCF2|10061	1275.5052	952.6598	767.1521	792.4686	988.9883	1279.8998
ABCF3|55324	1518.482	1031.2347	1724.5131	1141.4226	1697.1783	1335.0031
ABCG1|9619	101.5278	369.9366	211.967	448.5356	1185.1342	108.9543
ABCG2|9429	1380.9759	28.3065	315.143	215.8996	131.4522	478.397
ABCG4|64137	0	0.9761	1.4038	1.6736	6.8823	0.6262
ABCG5|64240	1526.8605	25.8663	572.7321	342.2594	26.841	1519.0983
ABCG8|64241	1653.031	9.7609	650.6405	1303.7657	2.0647	1988.1027
ABHD10|55347	667.8167	855.0512	929.9877	1022.5941	696.49	1217.2824
ABHD11|83451	560.8674	252.3182	471.6617	359.8326	332.4157	532.248
ABHD12B|145447	6.4071	5.3685	0	5.0209	0	0
ABHD12|26090	1602.2671	2000	1999.6491	1369.0377	4410.8741	2321.2273
ABHD13|84945	248.8911	636.896	367.0819	527.1967	177.5637	339.3863
ABHD14A|25864	571.2173	394.8267	478.6805	978.5105	586.8548	829.0545
ABHD14B|84836	3370.1331	2466.081	7505.8782	4864.4351	2604.267	4773.9512
ABHD15|116236	338.0976	247.4378	325.6712	912.9707	523.0557	228.5535
ABHD1|84696	71.4638	20.0098	7.7207	61.9247	2.0647	23.7946
ABHD2|11057	17022.6713	2796.4861	3390.0684	5663.5983	5871.989	6043.206
ABHD3|171586	851.1582	1285.9932	1336.3748	1664.4351	830.0069	1318.0964
ABHD4|63874	1343.519	637.8721	1356.7293	891.2134	1167.2402	2089.5429
ABHD5|51099	697.8807	514.8853	506.0537	721.3389	397.7977	381.9662
ABHD6|57406	763.4303	754.0264	652.0442	2166.5272	675.1549	1309.9562
ABHD8|79575	760.4731	416.3006	307.4224	1409.205	203.0282	788.9793
ABI1|10006	1550.2464	1420.5027	1040.6177	1057.7406	1106.8204	799.4928
ABI2|10152	516.5106	1170.327	244.9553	229.2887	525.8087	364.4333
ABI3BP|25890	60.1281	29.7706	90.5422	287.0293	83.9642	90.1691
ABI3|51225	186.2987	35.1391	150.9037	106.2762	417.0681	246.0864
ABL1|25	929.0291	1713.5188	543.2532	748.1172	758.4308	733.2498
ABL2|27	505.6678	1374.3289	1017.0205	254.3933	665.5196	445.8359
ABLIM1|3983	1302.6121	2389.9463	595.894	1810.8787	1587.7495	1004.3832
ABLIM2|84448	134.549	103.9531	75.1009	69.4561	177.5637	151.5341
ABLIM3|22885	2247.4125	824.7926	2181.4353	1845.1883	1992.4295	1698.8103
ABO|28	0.9857	0	6.3169	61.0879	0	1.2523
ABP1|26	2430.2612	1.4641	0	358.159	12.3882	123.3563
ABRA|137735	0	0	0.7019	0	0	1.8785
ABR|29	374.0759	189.3607	173.3637	292.0502	503.7853	301.8159
ABT1|29777	842.7797	1644.2167	1155.9923	612.5523	1325.5334	1100.1879
ABTB1|80325	1021.1927	332.8453	739.077	608.3682	1067.4467	705.6982
ABTB2|25841	654.0168	229.3802	269.521	755.6485	281.4866	515.9674
ACAA1|30	4056.1853	3807.223	4048.4295	4437.6569	5432.8975	6409.5178
ACAA2|10449	14340.5619	1859.9317	6533.076	20619.2469	1838.2657	16430.8078
ACACA|31	1409.5614	1313.3236	683.6287	1906.2762	1192.0165	884.1578
ACACB|32	3130.1134	500.7321	1108.2646	6897.9079	661.3902	1853.4753
ACAD10|80724	2201.5771	355.2953	1226.8819	1896.2343	698.5547	1033.8134
ACAD11|84129	1347.4618	606.6374	1247.2364	2077.8243	593.9436	1686.2868
ACAD8|27034	859.5367	451.9278	886.4713	628.4519	540.2615	824.0451
ACAD9|28976	1772.9867	767.1986	1292.1565	1043.5146	1243.6339	2261.7282
ACADL|33	621.4884	0.488	159.3262	583.2636	4.8176	162.8053
ACADM|34	4144.899	1186.4324	1881.0318	5106.2762	759.1191	4939.2611
ACADSB|36	6157.2203	10235.7247	4899.1051	10609.205	1562.9732	10578.5848
ACADS|35	1655.9882	1101.0249	2914.8974	2953.1381	1019.9587	3497.8084
ACADVL|37	11367.1217	8330.8882	6229.8649	8548.0418	4860.2891	34093.2999
ACAN|176	23.1641	1.9522	10.5282	23.431	30.2822	1.2523
ACAP1|9744	64.5638	9.7609	37.9014	35.1464	154.852	182.2167
ACAP2|23527	1023.1641	892.1425	403.5796	716.318	515.4852	529.7433
ACAP3|116983	1229.7486	356.2714	448.4997	794.1423	688.9264	427.6769
ACAT1|38	8718.0877	4548.0722	9180.558	8969.8745	8609.7729	10087.6644
ACAT2|39	1866.7472	1051.8009	3363.355	994.887	1945.8775	2837.4452
ACBD3|64746	1301.1336	2037.0913	1502.0179	1603.3473	1002.7529	1176.5811
ACBD4|79777	1669.2952	391.8985	1417.7926	1397.4895	1001.3765	1323.1058
ACBD5|91452	2317.8906	657.8819	1742.06	2074.477	1358.5685	1465.8735
ACBD6|84320	283.3908	1230.3563	607.8259	601.6736	855.4714	870.382
ACBD7|414149	29.5712	3.9043	9.8263	20.0837	4.1294	14.402
ACCN1|40	0	0	7.7207	0.8368	6.8823	0
ACCN2|41	59.6353	73.6945	20.3544	7.5314	15.1411	4.3832
ACCN3|9311	43.3711	14.6413	9.1244	1.6736	37.1645	21.9161
ACCN4|55515	0	0	0	0	1.3765	0
ACCN5|51802	2.4643	0	0	0.8368	0	0
ACCSL|390110	0	0	0	0	0	0
ACCS|84680	349.9261	44.9	407.089	94.5607	53.682	444.5836
ACD|65057	514.5392	208.8824	263.2041	184.1004	364.7626	378.2091
ACE2|59272	2.9571	5.8565	56.1502	917.1548	17.2058	370.6951
ACER1|125981	0	0	0	0	0	0
ACER2|340485	12.3213	23.4261	3.5094	83.682	0.6882	7.5141
ACER3|55331	207.4914	139.0922	126.338	237.6569	86.0289	125.861
ACE|1636	218.3342	68.8141	65.2746	456.0669	395.0447	157.7959
ACHE|43	30.0641	5.8565	379.7157	37.6569	28.2175	18.159
ACIN1|22985	2327.2548	2633.4797	1600.2808	1578.2427	1525.8087	1975.5792
ACLY|47	2787.0872	2444.6071	1860.6773	3753.1381	2461.1149	1770.8203
ACMSD|130013	1179.3987	203.5139	1773.6445	1998.3264	357.192	2623.6694
ACN9|57001	336.1262	403.1235	350.9388	187.4477	174.1225	190.9831
ACO1|48	2767.8659	2429.4778	4257.5891	5384.9372	2167.2402	2989.9812
ACO2|50	3502.2425	2014.0166	3992.3566	5968.9038	5003.1108	5508.0902
ACOT11|26027	8.8517	10.0976	5.9098	18.6946	4.1294	7.2636
ACOT12|134526	1524.3963	212.7867	687.1381	854.3933	0	2394.4897
ACOT13|55856	1251.5328	1833.7579	2678.4208	1835.1967	1923.4962	1742.0914
ACOT1|641371	2902.415	831.1371	4735.1044	1857.7406	1333.7922	2564.809
ACOT2|10965	1396.2543	445.5832	1489.1455	1087.8661	578.1142	1271.1334
ACOT4|122970	338.5904	191.8009	854.1849	862.7615	72.2643	333.7508
ACOT6|641372	14.7856	8.2967	60.3615	130.5439	5.5058	15.6544
ACOT7|11332	589.9458	306.979	564.3095	1035.9833	765.3131	636.819
ACOT8|10005	658.2652	345.4417	1240.751	588.0251	1587.0613	965.5229
ACOT9|23597	694.9236	302.0986	615.5466	315.4812	512.044	615.5291
ACOX1|51	7662.0059	1080.039	3415.4132	5492.887	5135.1204	5980.5886
ACOX2|8309	3575.1602	712.0547	2875.5922	2056.9038	1143.8403	3521.603
ACOX3|8310	334.6476	174.7194	304.6148	735.5649	510.6676	866.6249
ACOXL|55289	0.9857	0.488	0	0	0	0
ACP1|52	1746.6732	3292.3377	2330.9353	1636.8201	3068.8231	2723.2311
ACP2|53	1931.9862	1234.7487	2087.3838	2818.41	2587.0613	2174.7026
ACP5|54	1933.4648	1851.6349	3128.97	11571.5481	1174.1225	2991.8597
ACP6|51205	363.2331	863.348	1193.8937	310.4603	410.8741	747.0257
ACPL2|92370	387.3829	281.6008	94.0516	186.6109	139.0227	97.6832
ACPP|55	1.4786	0	4.2113	1.6736	4.8176	3.1309
ACPT|93650	0.4929	9.7609	1.4038	3.3473	2.0647	4.3832
ACRBP|84519	42.3854	42.9478	33.6901	59.4142	85.3407	19.4114
ACRC|93953	37.4569	4.8804	11.23	2.5105	4.8176	8.7664
ACRV1|56	0.9857	0.488	0	0	2.0647	0.6262
ACR|49	2.9571	0.488	3.5094	9.205	5.5058	3.1309
ACSBG1|23205	6.9	1.4641	2.8075	4.1841	4.8176	5.6356
