TCGA-18-3414-01A-01R-0980-07	TCGA-18-3417-01A-01R-1443-07	TCGA-34-8455-01A-11R-2326-07	TCGA-37-4132-01A-01R-1100-07	TCGA-58-8386-01A-11R-2296-07	TCGA-66-2742-01A-01R-0980-07	TCGA-NC-A5HP-01A-11R-A26W-07
?|100130426	0	0	0	0	0	0	0
?|100133144	12.3168	0	26.6779	37.5836	21.8867	14.1852	40.9367
?|100134869	25.7116	1.1507	38.9981	14.1329	22.7717	4.6405	57.6034
?|10357	205.8704	225.5121	155.2013	159.3714	156.1405	180.0212	103.747
?|10431	1030.4597	1767.5489	525.4075	1559.9643	805.0804	904.577	1299.8783
?|136542	0	0	0	0	0	0	0
?|155060	204.1721	25.3165	129.9137	156.041	269.1796	169.9023	358.8808
?|26823	0.3692	0	0	0.4458	0.8194	0.9413	2.4331
?|280660	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0
?|340602	49.8431	0	0	0	0.8194	0	2.4331
?|388795	1.4768	0	0.9588	23.1832	0.4097	1.4119	1.2165
?|390284	1.4768	5.7537	7.6702	14.2666	2.4583	4.2358	7.2993
?|391343	2.9537	0	0	0	0	0	0
?|391714	0	0	0	0	0	0	0
?|404770	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0
?|553137	0	0	0	0	0	0	0
?|57714	317.5189	579.977	647.1716	524.7436	1097.6134	675.8442	215.3285
?|645851	2.9537	2.3015	6.7114	28.979	17.2078	35.7689	39.5377
?|652919	8.4807	0	31.4765	0	13.5204	17.1832	18.8564
?|653553	712.9407	1429.229	760.3068	275.078	503.9435	849.9824	1007.9075
?|728045	0	0	0	0	0	0	0
?|728603	0	0	0	0	0	0	0
?|728788	1.1076	0	0	0	0	0.4706	1.2165
?|729884	918.9588	165.7077	29.2426	1.7833	10.6525	122.3673	530.4136
?|8225	812.9961	385.5006	493.2886	430.6732	1101.3008	814.2134	424.5742
?|90288	5.9073	1.1507	2.3969	9.3625	6.5554	4.2358	2.4331
A1BG|1	40.2769	155.351	52.7517	289.095	84.6789	37.8209	123.8686
A1CF|29974	0	0	0	0	0	0.4706	0
A2BP1|54715	0.3692	0	0	13.8208	1.2291	0	1.2165
A2LD1|87769	99.7785	126.8354	62.0086	143.6514	47.7517	101.2401	106.4659
A2ML1|144568	879.0844	11880.3222	104.9856	0	33.5962	8.0009	34.0633
A2M|2	4277.2457	8654.6835	18158.1783	6632.1578	36140.5224	8728.5516	4178.7774
A4GALT|53947	1443.2343	491.3694	2594.9185	164.9576	231.4862	1395.4583	781.0219
A4GNT|51146	0	0	0	0	1.6388	6.589	9.7324
AAA1|404744	0.7384	0	0	0	0	0	0.6083
AAAS|8086	660.144	738.7802	865.2924	737.4053	735.8394	621.2496	812.6521
AACSL|729522	12.9223	2.3015	0	0	3.6874	1.4119	27.3723
AACS|65985	812.9961	726.122	989.9329	1199.2867	951.3469	837.275	670.3163
AADACL2|344752	132.9149	0	0.9588	0	5.3262	2.8239	4.2579
AADACL3|126767	0	0	0	0	0	0	0
AADACL4|343066	0	0	0	0	0	0	0
AADAC|13	131.0689	16.1105	184.0844	4.9041	27.8603	53.6534	52.3114
AADAT|51166	93.7788	46.0299	80.0575	74.8997	132.7461	77.1856	66.3017
AAGAB|79719	1719.0327	1775.6041	1580.0575	1707.5346	667.0081	874.9265	810.8273
AAK1|22848	1189.2191	780.2071	1009.5877	427.9982	1744.9554	1160.6071	1526.1557
AAMP|14	2612.5162	1995.397	3395.4938	2388.3192	2685.6499	2706.2007	2660.5839
AANAT|15	1.4768	0	0.4794	0.8917	3.6874	0	0
AARS2|57505	401.6504	294.5915	586.2608	359.3313	331.8324	291.7943	615.4988
AARSD1|80755	266.9374	509.7814	569.9904	700.8471	335.9623	479.1152	515.2068
AARS|16	3459.8486	4701.9563	3976.5101	3824.7882	6278.398	4128.0151	4453.163
AASDHPPT|60496	1547.6906	507.4799	1215.2205	1959.8752	466.6598	1146.0172	1016.4234
AASDH|132949	446.0033	156.5017	206.6155	363.3527	260.9854	369.9259	168.4915
AASS|10157	271.7371	79.4016	801.0547	206.8658	2703.2674	611.366	245.7421
